school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
6150050,2017,2,1.4,2,1.4,27,18.8,54,37.5
4910550,2017,182,16.4,67,6,135,12.2,460,41.4
160001,2017,106,24,78,17.7,68,15.4,169,38.3
160515,2017,8,12.7,0,0,6,9.5,29,46
160505,2017,170,10.2,38,2.3,238,14.2,428,25.6
160315,2017,78,14.1,27,4.9,82,14.9,178,32.2
160008,2017,20,10.7,1,0.5,85,45.5,54,28.9
160045,2017,74,15.8,20,4.3,59,12.6,122,26.1
160040,2017,73,16.5,59,13.3,54,12.2,134,30.2
160050,2017,54,13.7,27,6.9,96,24.4,121,30.7
160305,2017,50,7.5,10,1.5,116,17.5,131,19.8
160035,2017,79,17.6,52,11.6,63,14,169,37.6
160320,2017,99,17.1,20,3.5,99,17.1,181,31.3
170305,2017,38,6.1,16,2.6,41,6.6,101,16.2
170505,2017,45,5.7,17,2.1,76,9.6,121,15.2
170010,2017,15,5.2,12,4.2,26,9.1,52,18.2
170025,2017,25,8.9,22,7.8,22,7.8,55,19.6
170030,2017,34,6.3,17,3.2,40,7.4,98,18.2
180510,2017,23,7.2,7,2.2,52,16.3,76,23.8
180010,2017,11,2.8,8,2,57,14.4,88,22.3
6160505,2017,35,8.6,10,2.4,81,19.8,103,25.2
6160305,2017,25,6.3,8,2,77,19.5,87,22
6160001,2017,14,3.6,6,1.5,76,19.5,77,19.8
6160002,2017,58,11,35,6.6,85,16.1,142,26.9
200505,2017,203,10.9,116,6.2,227,12.2,475,25.5
200315,2017,89,11.8,40,5.3,134,17.8,243,32.2
200050,2017,174,20.4,62,7.3,114,13.4,275,32.3
200010,2017,50,17.1,41,14,44,15,84,28.7
200001,2017,28,22.2,19,15.1,58,46,52,41.3
200025,2017,143,40.2,132,37.1,26,7.3,205,57.6
200005,2017,23,8.8,20,7.7,33,12.7,73,28.1
200045,2017,18,4.1,16,3.6,48,10.9,95,21.5
4270010,2017,98,33.8,51,17.6,23,7.9,116,40
35020405,2017,69,17.6,48,12.2,77,19.6,282,71.9
