school_id,year,school,charter,level,town,lat,long,african_american,asian,hispanic,white,native,male,female,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per,total
90010,2017,Henry C Sanborn Elementary,0,Primary,Andover,42.6420057,-71.1785495,1.6,28.1,4.5,63,0.8,54.9,45.1,61,16,38,10,54,14.2,30,7.9,381
90004,2017,High Plain Elementary,0,Primary,Andover,42.6634341,-71.2129716,2.7,29.1,6.6,58.3,0,53.6,46.4,134,26,68,13.2,72,14,23,4.5,515
90020,2017,South Elementary,0,Primary,Andover,42.6262663,-71.1498191,0,18.5,4.9,75.7,0.2,50.9,49.1,70,14.2,34,6.9,77,15.6,16,3.2,493
90025,2017,West Elementary,0,Primary,Andover,42.6646502,-71.1718658,3,14.6,6.8,72.5,0.2,51.7,48.3,76,11.9,32,5,133,20.9,52,8.2,636
90350,2017,Wood Hill Middle School,0,Middle,Andover,42.665289,-71.212637,3.1,26.5,6.2,61.8,0,45.8,54.2,79,18.9,6,1.4,79,18.9,28,6.7,419
35090305,2017,Argosy Collegiate Charter School,1,Middle,Fall River,41.6886945,-71.1615152,9.4,2,11.1,72.3,0.3,54.1,45.9,54,17.6,46,15,71,23.1,152,49.5,307
100010,2017,Brackett,0,Primary,Arlington,42.4124658,-71.1765073,1.5,10.3,4.6,77.1,0,52.1,47.9,28,5.9,13,2.7,56,11.8,18,3.8,476
100025,2017,Cyrus E Dallin,0,Primary,Arlington,42.4176518,-71.1878321,1.7,12.4,4.5,77.9,0,51.9,48.1,15,3.2,11,2.4,66,14.2,23,4.9,466
100030,2017,Hardy,0,Primary,Arlington,42.4043922,-71.1453622,4.9,15.7,7.3,68.1,0.2,54.3,45.7,72,16,57,12.6,58,12.9,37,8.2,451
100005,2017,John A Bishop,0,Primary,Arlington,42.4243986,-71.1548313,4.2,14.6,3.1,72.9,0,49.4,50.6,38,8.9,21,4.9,39,9.2,26,6.1,425
100055,2017,M Norcross Stratton,0,Primary,Arlington,42.4289012,-71.1673636,2.5,18.2,6.3,68.4,0,49.7,50.3,46,11.6,31,7.8,56,14.1,36,9.1,396
100410,2017,Ottoson Middle,0,Middle,Arlington,42.421107,-71.175771,4.2,10,5.5,75.3,0,47,53,156,12.9,27,2.2,182,15.1,119,9.9,1208
100045,2017,Peirce,0,Primary,Arlington,42.4287056,-71.1783327,4,12.3,8.3,72.8,0,49.6,50.4,30,10.9,26,9.4,32,11.6,12,4.3,276
100050,2017,Thompson,0,Primary,Arlington,42.4120829,-71.1385163,5.4,16.1,10.7,62,0.6,51.9,48.1,81,17.4,58,12.4,42,9,70,15,466
6100025,2017,Briggs Elementary,0,Primary,Ashburnham,42.615069,-71.928015,0.2,0.4,5.8,92.4,0,52.1,47.9,19,3.5,15,2.8,100,18.7,101,18.8,536
6100305,2017,Overlook Middle School,0,Middle,Ashburnham,42.6030455,-71.9261878,0,0.9,3.3,94.6,0,49.1,50.9,20,3.5,8,1.4,101,17.7,86,15.1,570
6100005,2017,Westminster Elementary,0,Primary,Westminster,42.5426219,-71.9094744,1.6,0.3,7,88.4,0.3,52.7,47.3,15,4,13,3.5,72,19.4,67,18,372
140405,2017,Ashland Middle,0,Middle,Ashland,42.2517274,-71.4752665,2.4,12.1,11.2,71,0.3,48.7,51.3,114,19.4,14,2.4,85,14.5,87,14.8,587
140015,2017,David Mindess,0,Primary,Ashland,42.2635479,-71.4602694,2.1,13.5,9.5,70.5,1,50.6,49.4,161,26,38,6.1,106,17.1,77,12.4,620
6150020,2017,Athol Community Elementary School,0,Primary,Athol,42.5741734,-72.2186046,0.7,1.2,9.9,84.7,0.2,50.3,49.7,23,4,20,3.5,154,26.7,327,56.7,577
6150305,2017,Athol-Royalston Middle School,0,Middle,Athol,42.5741925,-72.2186024,1.8,0,9.3,85.3,0.3,52.7,47.3,16,4.1,11,2.8,103,26.6,172,44.4,387
6150050,2017,Royalston Community School,0,Primary,Royalston,42.6768206,-72.1433883,2.1,0.7,2.8,93.8,0,49.3,50.7,2,1.4,2,1.4,27,18.8,54,37.5,144
4910550,2017,Atlantis Charter School,1,High,Fall River,41.6722391,-71.14756,4.7,1.9,9.9,80,0.1,46.7,53.3,182,16.4,67,6,135,12.2,460,41.4,1111
160001,2017,A. Irvin Studley Elementary School,0,Primary,Attleboro,41.9402771,-71.3033899,3.9,1.8,27.9,59.2,0.2,52.6,47.4,106,24,78,17.7,68,15.4,169,38.3,441
160315,2017,Cyril K. Brennan Middle School,0,Middle,Attleboro,41.9376387,-71.3079575,4.2,4.9,18.1,64.9,0.4,53.3,46.7,78,14.1,27,4.9,82,14.9,178,32.2,552
160045,2017,Hill-Roberts Elementary School,0,Primary,Attleboro,41.9200973,-71.3514846,6,3.9,12.8,68.3,0.9,55,45,74,15.8,20,4.3,59,12.6,122,26.1,467
160040,2017,Hyman Fine Elementary School,0,Primary,Attleboro,41.9161805,-71.2720478,4.3,6.3,12.6,70.7,0,47.2,52.8,73,16.5,59,13.3,54,12.2,134,30.2,443
160050,2017,Peter Thacher Elementary School,0,Primary,Attleboro,41.9320004,-71.2806008,3.8,6.1,11.7,68.8,0,53.8,46.2,54,13.7,27,6.9,96,24.4,121,30.7,394
160305,2017,Robert J. Coelho Middle School,0,Middle,Attleboro,41.909729,-71.3686764,3.6,3.6,10.6,76.8,0,51,49,50,7.5,10,1.5,116,17.5,131,19.8,663
160035,2017,Thomas Willett Elementary School,0,Primary,Attleboro,41.9462683,-71.2913536,6.2,9.4,9.8,65,0,52.3,47.7,79,17.6,52,11.6,63,14,169,37.6,449
160320,2017,Wamsutta Middle School,0,Middle,Attleboro,41.9133005,-71.2806802,6,5.9,18.7,64.9,0,53.7,46.3,99,17.1,20,3.5,99,17.1,181,31.3,579
170305,2017,Auburn Middle,0,Middle,Auburn,42.183599,-71.8701669,1.8,4.2,5.4,85.6,0.3,50.6,49.4,38,6.1,16,2.6,41,6.6,101,16.2,624
170030,2017,Swanson Road Intermediate School,0,Primary,Auburn,42.2070413,-71.8411072,1.5,3.4,7.6,84,0,49.3,50.7,34,6.3,17,3.2,40,7.4,98,18.2,537
180510,2017,Avon Middle High School,0,High,Avon,42.1287094,-71.0419368,37.3,5.6,4.7,48.3,0.6,48.3,51.4,23,7.2,7,2.2,52,16.3,76,23.8,319
180010,2017,Ralph D Butler,0,Primary,Avon,42.1159975,-71.0457557,23.3,3.8,6.8,59,1.3,52.2,47.8,11,2.8,8,2,57,14.4,88,22.3,395
6160305,2017,Ayer Shirley Regional Middle School,0,Middle,Shirley,42.5459496,-71.6376478,4.8,2,10.6,75.2,0.8,47.1,52.9,25,6.3,8,2,77,19.5,87,22,395
6160001,2017,Lura A. White Elementary School,0,Primary,Shirley,42.5398021,-71.6572043,2.1,2.6,9.8,81.2,0,52.7,47.3,14,3.6,6,1.5,76,19.5,77,19.8,389
6160002,2017,Page Hilltop Elementary School,0,Primary,Ayer,42.5672318,-71.5783528,3.2,3.8,11.7,76.5,0.2,54,46,58,11,35,6.6,85,16.1,142,26.9,528
200505,2017,Barnstable High,0,High,Hyannis,41.6543993,-70.3214659,8.4,2.8,11.5,72.2,0.9,48.7,51.3,203,10.9,116,6.2,227,12.2,475,25.5,1866
200315,2017,Barnstable Intermediate School,0,Middle,Hyannis,41.6591824,-70.3205385,8,1.7,9.9,74.7,0.5,48.7,51.3,89,11.8,40,5.3,134,17.8,243,32.2,754
200050,2017,Barnstable United Elementary School,0,Primary,Marston Mills,41.660332,-70.3873717,6.7,2.1,11.7,75.6,0,52,48,174,20.4,62,7.3,114,13.4,275,32.3,852
200010,2017,Centerville Elementary,0,Primary,Centerville,41.646175,-70.353557,4.8,1.4,8.5,82.3,0.3,53.9,46.1,50,17.1,41,14,44,15,84,28.7,293
200025,2017,Hyannis West Elementary,0,Primary,Hyannis,41.6501738,-70.3162605,17.1,2.5,27.5,42.7,0.3,54.8,45.2,143,40.2,132,37.1,26,7.3,205,57.6,356
200005,2017,West Barnstable Elementary,0,Primary,West Barnstable,41.6982437,-70.3271319,4.6,1.9,6.5,83.5,0,56.5,43.5,23,8.8,20,7.7,33,12.7,73,28.1,260
200045,2017,West Villages Elementary School,0,Primary,Marstons Mills,41.6623158,-70.3889468,2,0.7,5.2,88,0.5,50.3,49.7,18,4.1,16,3.6,48,10.9,95,21.5,441
4270010,2017,Barnstable Community Horace Mann Charter Public School,1,Primary,Hyannis,41.6555514,-70.2931495,17.9,3.1,20.7,51.7,1,51.7,48.3,98,33.8,51,17.6,23,7.9,116,40,290
35020405,2017,Baystate Academy Charter Public School,1,High,Springfield,42.134821,-72.545492,27.6,0.8,65.3,5.9,0,50.5,49.5,69,17.6,48,12.2,77,19.6,282,71.9,392
230305,2017,John Glenn Middle,0,Middle,Bedford,42.4884841,-71.2861217,5.8,15.5,5.9,69.2,0,50.2,49.8,92,16.5,24,4.3,95,17.1,49,8.8,556
230012,2017,Lt Job Lane School,0,Primary,Bedford,42.5160996,-71.2809177,5.7,15.7,4.4,70.3,0,53.4,46.6,96,17,44,7.8,101,17.8,44,7.8,566
240006,2017,Chestnut Hill Community School,0,Primary,Belchertown,42.2677806,-72.4123142,2.6,2.4,4,88.4,0,50.5,49.5,10,1.7,4,0.7,120,20.8,104,18,578
240025,2017,Jabish Middle School,0,Middle,Belchertown,42.2670445,-72.3990996,2.3,1.5,1.5,92.2,0,51.9,48.1,12,3,1,0.3,73,18.5,76,19.2,395
240018,2017,Swift River Elementary,0,Primary,Belchertown,42.2688648,-72.4101874,2,1.2,5,88.6,0.6,52.1,47.9,10,2,10,2,105,21,116,23.2,501
250505,2017,Bellingham High School,0,High,Bellingham,42.0751635,-71.4684972,1.8,3.1,5.3,88.4,0.3,54.5,45.5,22,3,8,1.1,143,19.4,115,15.6,739
250315,2017,Bellingham Memorial School,0,Middle,Bellingham,42.074644,-71.4750883,1.7,4.2,3.5,88.9,0.3,49.9,50.1,32,4.5,7,1,125,17.6,123,17.3,711
250020,2017,South Elementary,0,Primary,Bellingham,42.0344848,-71.489394,1.8,1.2,2.1,91.9,0,50.1,49.9,7,2.1,3,0.9,46,13.7,58,17.3,335
250025,2017,Stall Brook,0,Primary,Bellingham,42.1234713,-71.4593101,1.8,2,3.5,87.4,0,46.8,53.2,16,4.7,13,3.8,46,13.5,73,21.3,342
260015,2017,Daniel Butler,0,Primary,Belmont,42.3860686,-71.1877857,4.4,23.7,8.8,56.7,0.6,52.6,47.4,114,31.4,49,13.5,26,7.2,47,12.9,363
260010,2017,Mary Lee Burbank,0,Primary,Belmont,42.388524,-71.1642073,2.1,20.6,4.3,65.1,0,49.6,50.4,71,19,46,12.3,21,5.6,22,5.9,373
260035,2017,Roger E Wellington,0,Primary,Belmont,42.3922682,-71.1720515,3.1,15.3,2.2,69,0,55.1,44.9,147,22.9,63,9.8,70,10.9,51,8,641
260005,2017,Winn Brook,0,Primary,Belmont,42.399278,-71.166,1.7,24.8,3.4,63,0.2,51.3,48.7,117,25,57,12.2,38,8.1,21,4.5,468
260305,2017,Winthrop L Chenery Middle,0,Middle,Belmont,42.3862583,-71.1707519,3.5,16.1,4.9,69.3,0.1,49.7,50.3,289,21.3,38,2.8,139,10.2,102,7.5,1357
4200205,2017,Benjamin Banneker Charter Public School,1,Primary,Cambridge,42.392112,-71.13156,79.5,2.6,13.3,2.6,0.9,51.9,48.1,57,16.4,11,3.2,44,12.7,171,49.3,347
4470205,2017,Benjamin Franklin Classical Charter Public School,1,Middle,Franklin,42.0890791,-71.4006677,1.6,23,2.7,69.4,0.2,51.7,48.3,73,16.3,11,2.5,48,10.7,24,5.4,447
35110205,2017,Bentley Academy Charter School,1,Primary,Salem,42.5279338,-70.8810211,12.5,3.1,48.6,32.7,0,51.4,48.6,87,33.9,35,13.6,42,16.3,161,62.6,257
270010,2017,Berkley Community School,0,Primary,Berkley,41.8325338,-71.0885429,0,0.2,0.9,96.1,0,49.5,50.5,0,0,0,0,74,13.8,99,18.4,537
270305,2017,Berkley Middle School,0,Middle,Berkley,41.8485141,-71.0861657,1,0.8,1.5,94.1,0,48,52,1,0.3,1,0.3,71,18.1,43,11,392
4140305,2017,Berkshire Arts and Technology Charter Public School,1,High,Adams,42.6195589,-73.1212222,14.6,2.5,6.7,71.9,0,48,51.7,9,2.5,6,1.7,75,21.1,149,41.9,356
6180310,2017,Monument Valley Regional Middle School,0,Middle,Great Barrington,42.2441272,-73.3290202,1.6,3.1,7.2,84,0.3,46.3,53.7,25,6.5,7,1.8,68,17.6,97,25.1,387
6180035,2017,Muddy Brook Regional Elementary School,0,Primary,Great Barrington,42.2464004,-73.3287193,1.7,3.1,11.1,77.3,0,56.3,43.8,34,9.7,23,6.5,72,20.5,116,33,352
280005,2017,Berlin Memorial,0,Primary,Berlin,42.3772498,-71.6369005,0.5,2.1,3.7,88.9,0.5,57.4,42.6,21,11.1,10,5.3,29,15.3,34,17.9,190
6200505,2017,Tahanto Regional High,0,High,Boylston,42.3712415,-71.7211945,1,3.1,2.6,91.3,0,52.2,47.8,32,5.5,7,1.2,93,15.9,55,9.4,584
300055,2017,Ayers/Ryal Side School,0,Primary,Beverly,42.551284,-70.890016,3.4,4.4,17,73.1,0,52,48,113,21.5,90,17.1,75,14.3,165,31.4,525
300305,2017,Briscoe Middle,0,Middle,Beverly,42.559215,-70.8782125,3,2.4,9.5,82.2,0,53.9,46.1,31,3.1,17,1.7,205,20.3,236,23.4,1009
300010,2017,Centerville Elementary,0,Primary,Beverly,42.5789358,-70.8417892,3.9,0.6,15.4,76.3,0,52.2,47.8,7,2,5,1.4,72,20.1,122,34.1,358
300015,2017,Cove Elementary,0,Primary,Beverly,42.556047,-70.858329,3,1.3,11.4,77.4,0,52.2,47.8,17,3.7,12,2.6,81,17.5,132,28.4,464
300033,2017,Hannah Elementary,0,Primary,Beverly,42.5685379,-70.868321,1.3,1.3,11.8,80.8,0,51.4,48.6,8,2.1,6,1.6,74,19.4,79,20.7,381
300040,2017,North Beverly Elementary,0,Primary,Beverly,42.5803514,-70.8789774,2,2,10.5,82.6,0.3,51.9,48.1,6,1.5,2,0.5,66,16.9,81,20.7,391
