school_id,year,success,ela_success,math_success
4450105,2017,5.905000000000003,6.070000000000002,5.740000000000004
10405,2017,6.565000000000003,6.610000000000005,6.520000000000001
10003,2017,6.235000000000001,6.475,5.995000000000002
10015,2017,7.075000000000005,7.060000000000005,7.090000000000003
4120530,2017,5.455000000000007,5.680000000000007,5.230000000000007
6000005,2017,8.447500000000002,8.410000000000005,8.484999999999996
6000020,2017,7.832500000000001,7.945000000000002,7.7200000000000015
6000030,2017,9.047500000000005,8.77000000000001,9.325
6000015,2017,7.2850000000000055,7.135000000000005,7.435000000000005
6000010,2017,7.967500000000003,7.75,8.185000000000006
6000025,2017,9.017500000000007,8.830000000000007,9.205000000000007
6000405,2017,9.002500000000003,8.290000000000003,9.715000000000003
30025,2017,6.565000000000003,6.625,6.505000000000007
30305,2017,6.040000000000004,5.680000000000007,6.4
6030004,2017,5.927500000000004,5.770000000000001,6.085000000000005
6030020,2017,5.455000000000007,5.605000000000007,5.305000000000007
6030505,2017,5.1850000000000005,5.545000000000002,4.825
4300305,2017,8.485,8.395000000000001,8.575
50405,2017,6.145000000000006,6.055000000000007,6.235000000000005
50020,2017,5.762500000000005,5.4700000000000015,6.055000000000007
50010,2017,6.895000000000006,6.2800000000000065,7.510000000000005
50030,2017,6.662500000000004,6.565000000000003,6.760000000000005
50303,2017,6.790000000000004,6.415000000000004,7.165000000000004
50025,2017,6.7825000000000015,6.55,7.015000000000003
4090205,2017,6.662500000000004,6.5950000000000015,6.730000000000007
70005,2017,6.970000000000006,7.180000000000007,6.760000000000005
70013,2017,6.625000000000004,6.580000000000007,6.670000000000002
70010,2017,6.107500000000002,6.790000000000004,5.425
80009,2017,6.145000000000001,6.475,5.815000000000003
80020,2017,6.302500000000004,6.445000000000002,6.1600000000000055
80050,2017,6.767500000000003,6.670000000000002,6.865000000000004
6050405,2017,7.4725000000000055,7.480000000000007,7.465000000000003
90310,2017,7.6600000000000055,7.555000000000007,7.765000000000003
90003,2017,6.947500000000001,6.925,6.9700000000000015
90305,2017,7.862500000000004,7.960000000000005,7.765000000000003
90010,2017,7.450000000000005,7.240000000000004,7.6600000000000055
90004,2017,8.545000000000002,8.709999999999997,8.380000000000006
90020,2017,8.050000000000004,8.170000000000002,7.930000000000007
90025,2017,6.985000000000005,6.790000000000004,7.180000000000007
90350,2017,7.9975000000000005,7.675,8.320000000000002
35090305,2017,4.930000000000007,5.005000000000007,4.855000000000007
100010,2017,8.057500000000006,8.185000000000006,7.930000000000007
100025,2017,7.615000000000004,7.810000000000005,7.420000000000002
100030,2017,7.675000000000004,7.7200000000000015,7.630000000000007
100005,2017,8.747500000000006,9.055000000000007,8.440000000000003
100055,2017,7.322500000000005,7.330000000000007,7.315000000000003
100410,2017,8.095000000000006,8.185000000000006,8.005000000000006
100045,2017,7.352500000000004,7.630000000000007,7.075
100050,2017,7.6600000000000055,8.185000000000006,7.135000000000005
6100025,2017,6.520000000000001,6.415000000000004,6.625
6100305,2017,6.842500000000003,6.670000000000002,7.015000000000003
6100005,2017,6.437500000000004,6.385000000000005,6.490000000000004
140405,2017,7.9675000000000065,7.7800000000000065,8.155000000000006
140015,2017,6.872500000000006,6.865000000000004,6.880000000000007
6150020,2017,3.917500000000002,4.060000000000005,3.775
6150305,2017,4.840000000000003,4.75,4.930000000000007
6150050,2017,5.822500000000001,6.1,5.545000000000002
4910550,2017,6.355000000000007,6.430000000000007,6.2800000000000065
160001,2017,7.045000000000002,6.715000000000003,7.375
160315,2017,6.542500000000002,6.9100000000000055,6.175
160045,2017,5.710000000000005,5.965000000000003,5.455000000000007
160040,2017,7.127500000000003,7.510000000000005,6.745000000000002
160050,2017,7.397500000000001,7.3450000000000015,7.45
160305,2017,6.715000000000003,6.460000000000005,6.9700000000000015
160035,2017,6.955000000000003,7.570000000000002,6.340000000000003
160320,2017,6.070000000000002,6.25,5.890000000000003
170305,2017,6.895000000000001,6.895000000000001,6.895000000000001
170030,2017,7.562500000000004,7.870000000000002,7.255000000000007
180510,2017,6.055000000000002,6.310000000000005,5.8
180010,2017,6.662500000000005,7.120000000000002,6.205000000000007
6160305,2017,6.257500000000002,6.415000000000004,6.1
6160001,2017,6.475000000000004,6.6550000000000065,6.295000000000002
6160002,2017,6.205000000000007,6.6550000000000065,5.755000000000007
200505,2017,5.635000000000005,5.4100000000000055,5.860000000000005
200315,2017,6.197500000000005,6.235000000000005,6.1600000000000055
200050,2017,6.115000000000004,6.070000000000002,6.1600000000000055
200010,2017,6.962500000000004,7.195000000000002,6.730000000000007
200025,2017,6.137499999999999,5.725,6.55
200005,2017,5.6875,5.8,5.575
200045,2017,7.555000000000002,7.840000000000003,7.270000000000001
4270010,2017,7.255000000000003,7.165000000000004,7.3450000000000015
35020405,2017,5.200000000000005,5.365000000000004,5.0350000000000055
230305,2017,7.735000000000005,7.555000000000007,7.915000000000004
230012,2017,8.080000000000002,7.990000000000004,8.170000000000002
240006,2017,6.1225000000000005,6.2200000000000015,6.025
240025,2017,6.475000000000004,6.610000000000005,6.340000000000003
240018,2017,5.882500000000002,6.475,5.290000000000004
250505,2017,6.692500000000003,6.385000000000005,7.0
250315,2017,6.227500000000003,6.175,6.2800000000000065
250020,2017,6.842500000000003,6.625,7.060000000000005
250025,2017,7.465000000000003,7.825,7.105000000000007
260015,2017,8.297500000000007,8.185000000000006,8.410000000000005
260010,2017,9.032500000000002,8.590000000000003,9.475
260035,2017,8.560000000000006,8.62000000000001,8.5
260005,2017,9.092500000000006,8.755000000000006,9.430000000000007
