school_id,year,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
200315,2017,2290015,6450505,2930315,200505,3470405,2930010,3360310,2510305,2360035,730030
200050,2017,3360085,2290015,300055,200315,3460020,2510020,6450025,2510025,6160002,2620305
200010,2017,50030,50025,50020,2910010,3360085,1410015,200005,50303,1410007,1860017
200025,2017,3480177,2010115,3480215,3480026,3480202,950013,2010050,3480230,3480220,1600340
200005,2017,1860017,50303,960020,7120002,1610023,720030,6580005,1070020,200010,2360100
200045,2017,7350005,2390030,10015,7800010,6220405,2730015,960030,250025,410010,2290035
4270010,2017,3480136,2850020,3480235,1760140,3360080,3480225,2420020,2200005,350346,1760068
35020405,2017,2810055,2810020,2810050,4980405,2810065,2810035,2810100,2810015,2810145,2810075
230305,2017,230012,1990020,260305,100055,3300305,6000015,2070315,90025,2070005,2070025
230012,2017,230305,100030,3150020,2070315,2130014,1990020,6000015,2130020,3150015,6000010
240006,2017,6600305,6800305,6800005,990405,7660505,1690005,250315,7350035,7250010,1270505
240025,2017,2390305,2520305,1450020,7660505,1690005,6100025,7730405,2520005,770015,1180005
240018,2017,7250010,1690005,410010,70013,6600305,7350035,2140305,2390046,240006,70005
250505,2017,6700505,790020,2950023,3420020,710045,1380010,6100005,2750005,1270505,7250010
250315,2017,2650405,3010305,1710015,6250315,240006,310305,7350030,1620025,7660505,7730405
250020,2017,7730405,7150505,770305,7500505,6650305,1710015,7660505,6500310,1450020,2180015
250025,2017,7350005,960030,6220405,50405,200045,6220015,2290035,2390030,360325,7700405
260015,2017,1980010,460040,2070125,2070015,2660010,460005,3440020,2070105,90004,260005
260010,2017,260005,4300305,2710035,2070130,2660005,260305,460025,480007,3260045,4470205
260035,2017,100030,480007,260305,230012,2070130,560015,2070075,3150020,480015,2200025
260005,2017,2660005,260010,6000020,1980010,90004,3440020,2710035,3260045,1550015,2660010
260305,2017,230305,2710035,3440025,4470205,460025,4300305,260035,480015,100005,2070120
4200205,2017,4380505,35130305,4190305,4810550,4160305,4360305,440001,4440205,440420,350054
4470205,2017,3260310,3260330,3260045,4300305,2710035,1590005,3440040,260305,6000020,6000010
35110205,2017,970016,970048,970043,2010405,970340,970315,970060,1600015,3480405,1630030
270010,2017,2400010,2390012,30305,430005,2310305,6650305,2920006,1710020,7500505,7730025
270305,2017,1710020,2310305,2180305,830505,2610025,2290007,2980005,7800035,7450015,7050405
4140305,2017,2930010,2360310,2930042,2930315,3100305,2930035,2360035,2270008,2930505,6450305
6180310,2017,50405,1860505,1610305,1860025,4130505,860305,6220015,1110010,960305,960030
6180035,2017,6160002,860005,3320010,3250310,2290005,2290305,1030505,2510305,50010,1280008
280005,2017,1110004,1010035,3310515,720040,1110505,6720405,6580030,7740010,1680020,1620305
6200505,2017,3420060,1010040,3500010,2040005,1010012,7450405,2460310,2040030,6750310,6900510
300055,2017,200050,640050,3460020,3360085,2620065,160040,3140015,2010130,160315,3140025
300305,2017,6160001,2180010,3250033,300040,300033,3360110,70010,70005,1510005,1860025
300010,2017,300015,1280008,4740505,2360090,2510305,2930315,790030,2290305,2260005,2390011
300015,2017,790030,2290305,2780305,2510305,790045,300010,3250305,300033,160305,6160001
300033,2017,6160001,300040,3220005,3250305,740015,300305,2300005,3250033,1740305,1510015
300040,2017,300033,3250033,6160001,1440015,2300005,3250305,3220005,3410010,300305,1510015
310030,2017,3050015,3410010,6160001,160305,790410,3250033,300040,2120010,3010020,2110305
310007,2017,6800305,740015,3250033,1860505,6800030,880025,250315,870015,3050310,6800310
310026,2017,3360005,1780035,3050015,2910010,560025,2130015,3470040,2110305,2380010,3010020
310012,2017,6500010,7750315,1310410,6580310,2180305,7400405,7750018,6750007,2310015,2650015
310310,2017,1670035,880025,2120305,3050310,870305,1010310,870015,2170010,310305,2120013
310305,2017,250315,990020,3010305,870305,310310,2120013,310007,2180060,3070305,1010310
310015,2017,1760315,1590025,1510005,400305,2110010,3010020,790410,560030,1100200,310030
310005,2017,500305,1980035,3470040,710010,6800050,4350305,100410,1740505,3070010,790410
6220015,2017,2180060,960030,250025,50405,7350005,6180310,1860505,740015,1680300,1610305
6220405,2017,960030,7350005,720050,200045,720015,6250315,2730015,360325,7150505,10015
6220010,2017,2140305,240018,2390405,3310030,710030,720040,7250010,2180010,1070020,7670008
350390,2017,350308,350485,350153,350166,350268,350179,3480160,3480240,350229,1630005
350560,2017,2710015,460035,4700105,2660010,460040,260015,460005,2710305,4970205,2070320
350545,2017,350575,490030,35060505,490065,1650047,490040,35030205,350560,1650013,490320
350012,2017,350100,350077,350382,350278,350116,1530010,1650027,1630085,1630095,1530007
350054,2017,350378,440055,440078,440410,4630205,350657,350376,350180,350380,35050405
350052,2017,350020,440003,350326,3480280,350153,3480140,3480240,3480420,2580025,1630055
350430,2017,350326,1630035,3480350,1630045,1630050,2740120,570030,1630060,3480100,350052
350020,2017,350052,2740075,3480140,3480420,2740120,440003,3480405,1000006,3480280,3480423
350062,2017,350302,350656,1630525,350080,350141,3480052,350264,2010063,4260205,350156
350066,2017,350215,2480056,2480035,1700025,1000006,350182,3080065,1000035,2480057,350156
350072,2017,350229,350167,350485,350179,350153,440003,2810110,350390,350268,350166
350074,2017,4630205,440405,440410,350008,350257,350657,440055,350054,440078,350378
350077,2017,350116,350012,350382,350278,350172,350122,350100,490310,440422,4410505
350080,2017,4260205,350656,350264,350141,570055,350691,570035,4400205,350062,1490009
350008,2017,350257,350383,4690505,350013,350074,350380,4800405,4630205,350304,350153
350426,2017,490090,2440018,350183,440110,440415,350172,350122,2440020,440420,440065
350375,2017,3480045,3480060,3480020,3480280,3480420,3480100,350200,3480115,350326,3480160
350088,2017,350013,350328,350167,350227,350146,4860105,4800405,350383,4630205,440003
350096,2017,6050405,4180305,2110001,2100020,350190,3480200,1970010,3080032,2200305,2200020
350100,2017,350012,350237,3480202,350278,1650027,350262,2010405,1530007,1600018,350077
350116,2017,350077,350278,350122,350012,440422,350172,350298,350258,350445,1630030
350326,2017,350430,350182,3480095,350052,3480100,3480160,2010063,350375,2740111,3480045
350122,2017,350116,350278,350258,350304,350382,350077,350172,350298,350445,350426
350200,2017,350375,1600080,3480280,3480060,3480045,3480115,350013,3480020,3480160,350390
350135,2017,350360,350231,350243,4920005,350445,4840505,350167,4860105,35050405,4110305
350377,2017,350138,350376,350304,350154,350183,350370,350380,4920005,35050405,4800405
350750,2017,350363,350383,350013,350181,350179,350200,350008,3480280,350375,3480115
350141,2017,350264,350080,4260205,350656,570055,350691,350062,3480052,570035,350302
350013,2017,350088,4800405,350383,350146,440003,350304,350167,350008,350328,4860105
350146,2017,440003,350298,3480177,350013,350278,350328,3480420,3480215,350088,350167
350154,2017,350138,350370,350183,350378,350657,440001,350376,350377,4110305,4160305
350156,2017,350182,3080065,350302,350062,2740111,3480052,3480030,2480056,350066,2010063
350485,2017,350390,350308,350153,350179,350229,350166,350268,350072,350052,1630005
350153,2017,350390,350166,350485,350308,350268,3480160,350179,3480240,350229,350072
350172,2017,440422,440002,350077,350298,440415,440017,350278,350116,350122,2440020
350166,2017,350153,350390,350308,350268,1630005,350485,3480240,3480160,1630045,1630035
350179,2017,350485,350153,350229,350390,350072,3480420,350167,350383,3480140,3480280
350180,2017,4170205,35050405,350378,350376,4840505,4070405,350243,350370,350360,350380
350182,2017,350156,3080065,350326,2740111,350656,2580025,350302,1630050,1630100,350066
350183,2017,350154,350138,350304,350377,4110305,4800405,2440018,350426,440001,350657
350184,2017,350004,490035,1530045,1530025,490045,1530320,1650027,1330018,490315,4490305
350181,2017,350122,350183,350328,350146,350304,350426,350013,350377,350298,350138
350286,2017,1600360,350565,1600030,2430075,350227,1600020,1600080,2430065,1650003,350240
350190,2017,3480200,490035,1760320,350096,3080032,2740115,490005,1330018,490007,2740083
350376,2017,350370,350378,350180,350138,350154,35050405,350377,4110305,4840505,350657
350383,2017,350008,350167,350013,350179,350380,4800405,350088,4690505,350257,350485
350262,2017,3080404,1970005,3080040,2200005,1810050,1530007,2010410,160001,1530320,2960005
350004,2017,350184,490035,1630090,490305,1530320,490045,1650027,1630420,350382,350100
350215,2017,1000006,2480035,2480056,1700025,2480057,350066,2480305,1000035,2480050,930018
350656,2017,350080,570055,4260205,1630525,350062,350264,350141,570035,350691,570040
350227,2017,350088,350328,350013,350200,2440040,350146,350240,350167,1600360,440003
350229,2017,350072,2810110,350485,350167,350179,350153,2810155,440003,350390,2810325
350231,2017,350135,350360,350243,4920005,350377,350180,2810085,2810050,350370,350376
350378,2017,350657,350054,350376,350180,35050405,350154,350380,4170205,350138,4630205
350382,2017,350012,350077,2010045,350122,350100,350004,350237,1630085,350258,1530010
350237,2017,350100,350255,2850020,350012,1650027,1760140,2420020,350346,80020,490305
350243,2017,350360,350135,4110305,4390050,35050405,350231,4070405,350180,350370,4840505
350138,2017,350154,350370,350183,350376,350377,350378,440001,350657,4110305,350180
350575,2017,350545,1650013,35030205,4450105,4280305,440422,35060505,4870550,4390050,2440410
350255,2017,6450015,2420020,1760140,730010,350346,2010123,3470043,3480200,350190,2850020
350257,2017,350008,350366,4690505,350167,350383,350074,350153,3480020,350166,350268
350264,2017,350141,350080,350656,570055,350302,4260205,350062,3480052,350691,1630525
350268,2017,350166,350390,3480160,350153,350485,350308,3480020,3480055,3480240,3480095
350278,2017,350258,350298,350116,350122,3480405,350012,350077,350100,350146,2010405
350565,2017,350240,1600020,350286,1600360,1600080,350200,3480285,1600055,350227,350088
350691,2017,4260205,350080,1490009,570055,350656,350141,4400205,350062,1490075,570035
350240,2017,1600055,1650003,2430055,490040,35030205,1650047,350374,1650013,1600030,1600315
350298,2017,350278,440422,350146,350172,350116,440065,350122,440415,440420,350077
350302,2017,350062,350264,3480052,350156,350656,2010063,1630525,350182,350141,3080065
350304,2017,350380,4800405,350445,35050405,4860105,350183,350377,4110305,350122,350013
350308,2017,350390,350166,350485,350153,350268,3480160,1630005,1630035,350179,350326
350657,2017,350378,4630205,350154,4800405,350376,35050405,350054,350138,4170205,440410
350328,2017,350088,350146,2440040,350013,350227,440065,350181,350167,2440410,1600005
350167,2017,350072,4860105,350380,350088,4800405,440003,350229,350383,350179,350135
350346,2017,1530025,730010,2740115,4960305,2850020,2580070,1530320,1530030,160001,1760320
350445,2017,350380,350304,4860105,4110305,35050405,4800405,350135,440003,4920005,4840505
350366,2017,350257,4560050,3480020,350153,350375,350268,3480045,3480140,350166,3480100
350360,2017,350243,350135,4840505,4070405,4860105,350231,35050405,4110305,4280305,350180
350258,2017,350278,3480405,350374,930038,1630030,350122,3480423,3480202,2740075,350116
350363,2017,930030,350750,2810005,440400,2810345,2010510,350377,350183,350304,2810360
350370,2017,350376,350138,350154,4920005,4110305,350377,350180,350243,4810550,440001
350374,2017,3480215,3080050,3480423,350258,35030205,1650013,3480202,3480415,3480177,350278
350380,2017,35050405,4840505,350304,350445,350378,350167,4860105,4110305,350377,350180
4490305,2017,1330505,180510,2850014,2850010,2850405,490005,490050,4990305,490315,2930305
4110305,2017,35050405,4840505,350243,440001,350370,350445,350376,4280305,350304,350380
4160305,2017,4120530,4810550,4360305,4380505,4200205,4190305,350154,350138,440001,350370
4810550,2017,4160305,4280305,4070405,4390050,4200205,4360305,350370,4120530,4380505,350243
360325,2017,7150505,1910310,1730005,7730405,6220405,6600305,2390046,2730008,7350030,2180015
360005,2017,7200305,2140305,1350005,910030,1820010,30025,7200005,1820305,2390047,3310030
360010,2017,1820305,1820010,850005,7650505,1070042,6600305,3060005,7780010,2390046,2260405
380013,2017,2170305,6750310,2040030,1310410,2900305,1640405,1220305,7250025,820004,2980010
390005,2017,7750305,6730010,1980305,2120015,2460002,3070018,6750015,7250020,3050020,1990005
400033,2017,2200020,2200015,1990020,3470405,3360085,2200305,6450505,400305,3360105,2850025
400050,2017,1760150,2430060,3480185,1000007,3470065,160035,1780020,2070130,3470025,2070075
400305,2017,400310,560310,1760315,2200015,310015,1100200,560305,90025,3470410,1590025
400015,2017,560310,3350015,560005,1980005,2130003,560305,1990405,2120013,1980305,3070310
400005,2017,230012,90025,400020,2130020,480015,560005,400310,560305,2200015,230305
400025,2017,100055,400020,3170015,3440040,2760050,2070025,3260045,1990020,480020,560005
400020,2017,400025,2200025,100055,230305,480015,3170015,400005,230012,560005,1990020
400310,2017,560305,560310,400015,3350015,400305,560005,90310,1100200,3440305,90305
410010,2017,7350005,70013,2390030,240018,6600305,1610305,960030,1860505,1690005,1070042
4170205,2017,35050405,350180,4840505,4070405,350378,4860105,4630205,4110305,350360,350380
6250320,2017,2640020,1730010,6500305,6250050,2500005,3500010,2290045,2080005,7400405,7750310
6250050,2017,6250300,6250320,3400020,7800310,6250002,3040015,790020,710045,6700505,2240005
6250002,2017,6250300,6250050,990405,790020,6700505,3050310,3420020,3250033,880025,250505
6250315,2017,2650015,250315,250020,720050,2650405,6220405,7150505,720015,6800030,7500505
6250300,2017,6250002,6250050,6700505,790020,7800310,3420020,710045,7350035,990405,2180015
430005,2017,7500505,2640015,270010,2610025,830505,250020,7400405,6650305,7150505,2390012
440421,2017,440017,440002,440045,440415,440420,440422,440065,2850020,1760140,2440020
440010,2017,440065,440023,440002,440415,440017,440078,440410,440421,440420,440055
440110,2017,490090,440001,440415,440420,2440018,350426,350154,4440205,350183,440065
440001,2017,350154,4110305,440110,350138,350370,440415,350376,350657,350183,440023
440405,2017,440410,440078,440055,4630205,350074,350657,350054,440010,440023,350008
440023,2017,440065,440010,440415,4840505,440001,440002,440420,4170205,440055,350360
440400,2017,2010510,350363,930030,1280033,950340,1280073,2810005,2010045,1600085,440110
440045,2017,440017,440002,440420,440421,1890020,4440205,4990305,490090,440415,2440020
440055,2017,440078,440410,350054,440405,4630205,440023,350074,350657,440010,350378
440017,2017,440002,440421,440045,2440020,440420,440415,440422,350172,490090,440065
440422,2017,350298,350172,440415,440420,350116,440017,350278,440421,440002,4280305
440065,2017,440415,440023,440002,440420,2440020,440010,2440410,490090,440017,2440040
440003,2017,4860105,4690505,3480140,350167,350146,350052,350445,350020,350013,350072
440002,2017,440017,440420,440415,440421,2440020,440065,440045,350172,490090,440010
440410,2017,440405,440055,440078,4630205,350054,350657,350074,440023,440010,350378
440078,2017,440055,440410,350054,440405,4630205,440010,440023,350657,350074,350378
440415,2017,440420,440065,440002,2440020,490090,4440205,440422,2440410,440421,440017
440420,2017,440415,440002,4440205,490090,2440020,440065,440017,440045,2440410,440422
4280305,2017,4070405,4810550,4110305,4840505,350360,4390050,35050405,350243,440422,4870550
450005,2017,2730015,2730008,1140025,7800010,3060005,7800030,360325,1730005,7700405,7530405
460005,2017,2070015,2070105,460040,460030,1550008,260015,2070040,2070125,460035,2660010
460015,2017,2070105,1000007,460005,2070040,460020,260015,460040,2070015,3080032,2070020
460025,2017,2070100,260305,2710035,2070020,460045,480035,2070115,460020,2660010,3170020
460045,2017,460020,2070020,2070305,460025,2130014,2070075,2070310,140015,6000020,2070100
460030,2017,2070015,460005,1550008,2710015,3210005,2070105,1550035,3210025,2070040,260015
460020,2017,460045,2070020,2070075,460025,2070305,2660010,2070100,2070130,3170015,2660005
460040,2017,260015,460005,2660010,460035,2070040,2070020,2070115,460025,1980010,1550008
460035,2017,460040,460005,2070070,2070040,260015,2070320,2070015,2070020,480035,2710015
480007,2017,2070130,480015,6000020,260035,230012,6000010,2710035,2070075,2200025,100030
480035,2017,3170015,480015,460025,2070115,480007,2200025,2070100,2070020,100050,2070130
480303,2017,500017,3070310,3070015,1990035,1590025,1980005,560310,3170305,2130305,2880015
480015,2017,2070130,480007,2200025,230012,230305,260305,480035,100055,560025,6000020
480020,2017,2070025,2070055,2070005,1990020,400025,2070120,100055,2070115,6000015,260305
490006,2017,3080415,1700045,3080060,1970005,2480305,1810060,1630420,1000310,1810055,4850485
490305,2017,490315,490310,490045,490035,490065,1650027,350004,490005,4490305,490320
490007,2017,2850405,2850014,1330505,2850015,2850010,490005,350190,490035,1330018,160045
490090,2017,2440020,2440410,440420,4440205,440415,490310,440002,440110,440065,2440018
490080,2017,3480145,490040,490020,2070070,460035,460030,2430060,4700105,490320,3480230
490020,2017,490050,490065,490320,490005,490030,4700105,490035,460035,490045,2850015
490065,2017,490020,490030,490320,490315,490050,490045,490305,490005,2850014,4700105
490040,2017,1650047,3480145,3470065,80050,1600036,3480220,1650027,4270010,350240,3480202
490035,2017,490005,350190,490045,490315,490007,490305,490050,350184,350004,3480200
490005,2017,490050,490035,490020,350190,6050405,490007,2850015,350096,2850014,2110001
490030,2017,490065,490020,490320,490050,4700105,2440015,460035,490305,490040,350545
490045,2017,490315,490035,490305,1760320,490050,1650027,490065,490320,490020,490005
490050,2017,490005,490020,490320,2850015,490035,490065,2850014,2850405,180510,490045
490310,2017,490305,490090,490315,440420,4440205,350077,490045,2440020,440422,2440410
490315,2017,490045,490305,490035,2850014,490065,490050,490007,490005,2850405,4490305
490320,2017,490020,490050,490065,490045,490030,1650027,490005,490035,1760068,490305
500020,2017,500012,500305,3170045,310005,100005,3470040,670005,4970205,1980035,3150005
500017,2017,2880015,2880030,480303,510025,3170305,100010,1890007,100025,2460010,2880025
500012,2017,500020,500305,3170045,1570025,310005,2850015,3150005,670005,1980035,4970205
500305,2017,310005,500012,500020,3470040,1890410,3150005,670005,1980005,3170305,2880025
4320530,2017,1770015,3230505,1440305,6500005,4820050,7700405,2490005,6830505,1870005,2290007
510025,2017,780005,3350010,1390010,100010,2880030,500017,2690010,2880010,100025,2880015
520015,2017,6650001,520405,7500008,30305,2400010,1910310,7800035,2310003,2730005,6650015
520405,2017,7800035,520015,2390305,2390012,7660505,2520305,30305,270010,2610025,1450020
6350005,2017,680005,7350010,1420305,1420015,7170020,6620020,3370005,7800315,7450010,3310030
6350025,2017,1820008,6350305,1910025,7280015,6350035,940010,7780010,2140305,7530030,2270505
6350035,2017,6350305,1350005,2150015,6720059,6350025,6740005,3060005,1910025,7280015,30025
6350305,2017,1910025,1350005,30025,6740005,7200305,2390015,3060005,6350035,6350025,7780010
560030,2017,3350010,3070005,2380010,2110015,2130305,3010020,3070310,2110305,2110010,3050015
560005,2017,560305,3350015,560310,3070015,400015,100410,100055,1990020,2760305,400310
560025,2017,100030,2130015,310026,480015,560015,3360005,2070315,6000010,160045,230012
560305,2017,560310,3350015,560005,1980005,400310,3440305,400015,3070015,90025,90305
560310,2017,3350015,560305,3070015,400015,1980005,560005,3070310,1590017,90305,400310
560015,2017,2760020,3150020,2710025,6000010,100030,100055,2070080,260035,2760050,1990035
570050,2017,570045,570035,570025,1490027,1490049,570040,1490090,1490025,1490015,1490525
570030,2017,570040,570025,1630035,3480350,1630050,1490040,2580025,350656,1490004,1490075
570045,2017,570050,570025,570040,570030,1490027,1490049,1490025,1490015,570035,1490525
570040,2017,570025,570030,1490027,570035,1490015,1630035,1630050,1490053,1490049,1490040
570035,2017,1490015,4400205,1490049,570040,1490017,1490027,1490090,1490080,350080,1490085
570055,2017,350656,350080,350691,4260205,350141,350264,570035,4400205,1490009,570040
570025,2017,570040,570030,1490027,570045,1490018,1490080,1630045,1490049,570035,1490053
6320025,2017,7530405,7500008,1820305,7530025,7170505,7500006,980005,2400010,520015,7170005
610003,2017,1280054,2010010,2580070,160001,3160015,2580305,610022,6450015,610310,2580015
610305,2017,610022,610310,2580003,3160015,1280085,2580305,1530030,2580015,1280026,950320
610015,2017,970016,1280075,610050,2770315,970043,2770020,970340,2810125,2770005,4090205
610020,2017,3250036,3320030,300010,3250020,4740505,610040,2260005,2260505,2270008,2930315
610021,2017,2010515,1370015,1630080,2810350,2810100,610090,2810360,970315,2810065,2810485
610310,2017,610022,610305,2580305,1530030,3160015,1280054,2580003,1280026,950005,1280050
610050,2017,2770005,1280075,610015,1280100,2580030,970043,1140035,950009,950065,1530010
610090,2017,2810145,2810065,4980405,2810020,2810485,2810080,2810115,2810100,2810175,1370045
610040,2017,3250036,3250020,610065,610020,1140305,3250015,3320030,1030405,1280085,2270008
610022,2017,610305,3160015,610310,2580305,1280085,2580003,2580015,950005,3160315,1530030
610065,2017,3250036,610040,2100029,1280085,610020,300010,3160315,4740505,3250020,1630075
4180305,2017,350096,6050405,730305,2110001,160320,1530045,160315,1810030,2740083,2620065
630010,2017,7500006,6150050,7170505,7170005,3490010,7170010,7530025,1480005,7530010,6320025
640050,2017,640305,2620065,2100029,300055,2580070,2620050,1000045,3320305,200050,1280085
640305,2017,640050,2580070,2620065,160320,730045,1810030,3320010,160315,1850305,2510025
4380505,2017,4200205,4190305,4160305,4810550,35130305,4360305,440001,350154,4120530,440420
650505,2017,1310410,1310020,2980010,6750310,1750305,6900510,2640010,7250310,6980030,820305
650005,2017,1050305,2640007,2190020,820305,2040305,2640010,7730020,1310005,650505,2460005
35030205,2017,1650013,350374,930038,350240,1630070,350278,1630020,490040,1650047,350258
4360305,2017,4120530,4160305,4810550,4440205,4280305,4390050,4870550,440420,4200205,440001
4260205,2017,350080,4400205,350141,1490009,350691,350656,1490075,570055,570035,4310205
4400205,2017,4260205,4310205,570035,1490040,1490075,1490017,1490090,1490009,570040,1490049
4310205,2017,4400205,1490053,4260205,570035,1490040,1490075,1490048,570055,1630050,1490009
670005,2017,1570025,1890007,3470040,3300305,500305,3300012,3170045,1760130,310005,3300010
670305,2017,3350305,1990405,1990410,3170025,1780017,3050020,4350305,1980310,1010405,6550405
670020,2017,1590017,1890005,100010,2690010,90003,2130305,780005,670030,510025,1840005
