school_id,year,school,charter,level,town,lat,long
4450105,2017,Abby Kelley Foster Charter Public School,1,High,Worcester,42.3056491,-71.8016973
10405,2017,Abington Middle School,0,Middle,Abington,42.1185951,-70.9527295
10015,2017,Woodsdale Elementary School,0,Primary,Abington,42.1298139,-70.9721425
4120530,2017,Academy Of the Pacific Rim Charter Public School,1,High,Hyde Park,42.244227,-71.1320302
6000005,2017,Blanchard Memorial School,0,Primary,Boxborough,42.4820146,-71.5058104
6000020,2017,C.T. Douglas Elementary School,0,Primary,Acton,42.4816957,-71.4716724
6000030,2017,Luther Conant School,0,Primary,Acton,42.475239,-71.4363371
6000015,2017,McCarthy-Towne School,0,Primary,Acton,42.4751266,-71.4605239
6000010,2017,Merriam School,0,Primary,Acton,42.4751266,-71.4605239
6000025,2017,Paul P Gates Elementary School,0,Primary,Acton,42.4808923,-71.4732376
6000405,2017,Raymond J Grey Junior High,0,Middle,Acton,42.4764217,-71.4580038
30025,2017,Acushnet Elementary School,0,Primary,Acushnet,41.7251898,-70.9050764
30305,2017,Albert F Ford Middle School,0,Middle,Acushnet,41.72323,-70.9051055
6030020,2017,Hoosac Valley Elementary School,0,Primary,Adams,42.6189823,-73.1209208
6030505,2017,Hoosac Valley High School,0,High,Cheshire,42.5939463,-73.1156593
4300305,2017,Advanced Math and Science Academy Charter School,1,High,Marlborough,42.3324806,-71.577694
50405,2017,Agawam Junior High,0,Middle,Feeding Hills,42.0640211,-72.6739684
50020,2017,Benjamin J Phelps,0,Primary,Agawam,42.0701967,-72.6135023
50010,2017,Clifford M Granger,0,Primary,Feeding Hills,42.066004,-72.6774782
50030,2017,James Clark School,0,Primary,Agawam,42.0454725,-72.6314773
50303,2017,Roberta G. Doering School,0,Middle,Agawam,42.0869505,-72.6258303
50025,2017,Robinson Park,0,Primary,Agawam,42.0899514,-72.6432934
4090205,2017,Alma del Mar Charter School,1,Middle,New Bedford,41.6657016,-70.9227056
70005,2017,Amesbury Elementary,0,Primary,Amesbury,42.8659229,-70.9319241
70013,2017,Amesbury Middle,0,Middle,Amesbury,42.848897,-70.9295092
70010,2017,Charles C Cashman Elementary,0,Primary,Amesbury,42.85582,-70.9488159
80009,2017,Crocker Farm Elementary,0,Primary,Amherst,42.3473091,-72.5174032
80020,2017,Fort River Elementary,0,Primary,Amherst,42.374791,-72.497669
80050,2017,Wildwood Elementary,0,Primary,Amherst,42.3874259,-72.5129155
6050405,2017,Amherst Regional Middle School,0,Middle,Amherst,42.3841336,-72.5103149
90310,2017,Andover West Middle,0,Middle,Andover,42.6590223,-71.1524391
90003,2017,Bancroft Elementary,0,Primary,Andover,42.636617,-71.125172
90305,2017,Doherty Middle,0,Middle,Andover,42.654333,-71.135068
90010,2017,Henry C Sanborn Elementary,0,Primary,Andover,42.6420057,-71.1785495
90004,2017,High Plain Elementary,0,Primary,Andover,42.6634341,-71.2129716
90020,2017,South Elementary,0,Primary,Andover,42.6262663,-71.1498191
90025,2017,West Elementary,0,Primary,Andover,42.6646502,-71.1718658
90350,2017,Wood Hill Middle School,0,Middle,Andover,42.665289,-71.212637
35090305,2017,Argosy Collegiate Charter School,1,Middle,Fall River,41.6886945,-71.1615152
100010,2017,Brackett,0,Primary,Arlington,42.4124658,-71.1765073
100025,2017,Cyrus E Dallin,0,Primary,Arlington,42.4176518,-71.1878321
100030,2017,Hardy,0,Primary,Arlington,42.4043922,-71.1453622
100005,2017,John A Bishop,0,Primary,Arlington,42.4243986,-71.1548313
100055,2017,M Norcross Stratton,0,Primary,Arlington,42.4289012,-71.1673636
100410,2017,Ottoson Middle,0,Middle,Arlington,42.421107,-71.175771
100045,2017,Peirce,0,Primary,Arlington,42.4287056,-71.1783327
100050,2017,Thompson,0,Primary,Arlington,42.4120829,-71.1385163
6100025,2017,Briggs Elementary,0,Primary,Ashburnham,42.615069,-71.928015
6100305,2017,Overlook Middle School,0,Middle,Ashburnham,42.6030455,-71.9261878
6100005,2017,Westminster Elementary,0,Primary,Westminster,42.5426219,-71.9094744
140405,2017,Ashland Middle,0,Middle,Ashland,42.2517274,-71.4752665
140015,2017,David Mindess,0,Primary,Ashland,42.2635479,-71.4602694
6150020,2017,Athol Community Elementary School,0,Primary,Athol,42.5741734,-72.2186046
6150305,2017,Athol-Royalston Middle School,0,Middle,Athol,42.5741925,-72.2186024
6150050,2017,Royalston Community School,0,Primary,Royalston,42.6768206,-72.1433883
4910550,2017,Atlantis Charter School,1,High,Fall River,41.6722391,-71.14756
160001,2017,A. Irvin Studley Elementary School,0,Primary,Attleboro,41.9402771,-71.3033899
160315,2017,Cyril K. Brennan Middle School,0,Middle,Attleboro,41.9376387,-71.3079575
160045,2017,Hill-Roberts Elementary School,0,Primary,Attleboro,41.9200973,-71.3514846
160040,2017,Hyman Fine Elementary School,0,Primary,Attleboro,41.9161805,-71.2720478
160050,2017,Peter Thacher Elementary School,0,Primary,Attleboro,41.9320004,-71.2806008
160305,2017,Robert J. Coelho Middle School,0,Middle,Attleboro,41.909729,-71.3686764
160035,2017,Thomas Willett Elementary School,0,Primary,Attleboro,41.9462683,-71.2913536
160320,2017,Wamsutta Middle School,0,Middle,Attleboro,41.9133005,-71.2806802
170305,2017,Auburn Middle,0,Middle,Auburn,42.183599,-71.8701669
170030,2017,Swanson Road Intermediate School,0,Primary,Auburn,42.2070413,-71.8411072
180510,2017,Avon Middle High School,0,High,Avon,42.1287094,-71.0419368
180010,2017,Ralph D Butler,0,Primary,Avon,42.1159975,-71.0457557
6160305,2017,Ayer Shirley Regional Middle School,0,Middle,Shirley,42.5459496,-71.6376478
6160001,2017,Lura A. White Elementary School,0,Primary,Shirley,42.5398021,-71.6572043
6160002,2017,Page Hilltop Elementary School,0,Primary,Ayer,42.5672318,-71.5783528
200505,2017,Barnstable High,0,High,Hyannis,41.6543993,-70.3214659
200315,2017,Barnstable Intermediate School,0,Middle,Hyannis,41.6591824,-70.3205385
200050,2017,Barnstable United Elementary School,0,Primary,Marston Mills,41.660332,-70.3873717
200010,2017,Centerville Elementary,0,Primary,Centerville,41.646175,-70.353557
200025,2017,Hyannis West Elementary,0,Primary,Hyannis,41.6501738,-70.3162605
200005,2017,West Barnstable Elementary,0,Primary,West Barnstable,41.6982437,-70.3271319
200045,2017,West Villages Elementary School,0,Primary,Marstons Mills,41.6623158,-70.3889468
4270010,2017,Barnstable Community Horace Mann Charter Public School,1,Primary,Hyannis,41.6555514,-70.2931495
35020405,2017,Baystate Academy Charter Public School,1,High,Springfield,42.134821,-72.545492
