SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Belchertown - Belchertown High, 00240505,2,2,4.1,90.3,0.1,0.1,1.4,50.3,49.7
Belchertown - Chestnut Hill Community School, 00240006,2.6,2.4,4,88.4,0,0.3,2.2,50.5,49.5
Belchertown - Cold Spring, 00240005,1.2,1.8,5.3,86.5,0,0,5.3,44.7,55.3
Belchertown - Jabish Middle School, 00240025,2.3,1.5,1.5,92.2,0,0.3,2.3,51.9,48.1
Belchertown - Swift River Elementary, 00240018,2,1.2,5,88.6,0.6,0,2.6,52.1,47.9
Bellingham - Bellingham Early Childhood Center, 00250003,2.1,3.1,0,91.7,0,2.1,1,57.3,42.7
Bellingham - Bellingham High School, 00250505,1.8,3.1,5.3,88.4,0.3,0,1.2,54.5,45.5
Bellingham - Bellingham Memorial School, 00250315,1.7,4.2,3.5,88.9,0.3,0,1.4,49.9,50.1
Bellingham - Keough Memorial Academy, 00250510,0,0,11.8,85.3,0,0,2.9,64.7,32.4
Bellingham - South Elementary, 00250020,1.8,1.2,2.1,91.9,0,2.4,0.6,50.1,49.9
Bellingham - Stall Brook, 00250025,1.8,2,3.5,87.4,0,1.5,3.8,46.8,53.2
Belmont - Belmont High, 00260505,4.6,16.8,3.5,69.9,0,0.1,5.2,46.9,53.1
Belmont - Daniel Butler, 00260015,4.4,23.7,8.8,56.7,0.6,0,5.8,52.6,47.4
Belmont - Mary Lee Burbank, 00260010,2.1,20.6,4.3,65.1,0,0.3,7.5,49.6,50.4
Belmont - Roger E Wellington, 00260035,3.1,15.3,2.2,69,0,0,10.5,55.1,44.9
Belmont - Winn Brook, 00260005,1.7,24.8,3.4,63,0.2,0,6.8,51.3,48.7
Belmont - Winthrop L Chenery Middle, 00260305,3.5,16.1,4.9,69.3,0.1,0.1,6,49.7,50.3
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School, 04200205,79.5,2.6,13.3,2.6,0.9,0,1.2,51.9,48.1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School, 04470205,1.6,23,2.7,69.4,0.2,0,3.1,51.7,48.3
Bentley Academy Charter School (District) - Bentley Academy Charter School, 35110205,12.5,3.1,48.6,32.7,0,0,3.1,51.4,48.6
Berkley - Berkley Community School, 00270010,0,0.2,0.9,96.1,0,0,2.8,49.5,50.5
Berkley - Berkley Middle School, 00270305,1,0.8,1.5,94.1,0,0,2.6,48,52
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School, 04140305,14.6,2.5,6.7,71.9,0,0.3,3.9,48,51.7
Berkshire Hills - Monument Mt Regional High, 06180505,2.2,1.8,4.8,88.5,0.2,0.2,2.4,51.4,48.6
Berkshire Hills - Monument Valley Regional Middle School, 06180310,1.6,3.1,7.2,84,0.3,0.5,3.4,46.3,53.7
Berkshire Hills - Muddy Brook Regional Elementary School, 06180035,1.7,3.1,11.1,77.3,0,0,6.8,56.3,43.8
Berlin - Berlin Memorial, 00280005,0.5,2.1,3.7,88.9,0.5,0,4.2,57.4,42.6
Berlin-Boylston - Tahanto Regional High, 06200505,1,3.1,2.6,91.3,0,0,2.1,52.2,47.8
Beverly - Ayers/Ryal Side School, 00300055,3.4,4.4,17,73.1,0,0,2.1,52,48
Beverly - Beverly High, 00300505,3,2.7,10.8,81.2,0,0.2,2.2,49.8,50.2
Beverly - Briscoe Middle, 00300305,3,2.4,9.5,82.2,0,0,3,53.9,46.1
Beverly - Centerville Elementary, 00300010,3.9,0.6,15.4,76.3,0,0,3.9,52.2,47.8
Beverly - Cove Elementary, 00300015,3,1.3,11.4,77.4,0,0.2,6.7,52.2,47.8
Beverly - Hannah Elementary, 00300033,1.3,1.3,11.8,80.8,0,0,4.7,51.4,48.6
Beverly - McKeown School, 00300002,5.4,0.9,11.6,74.1,0,0,8,63.4,36.6
Beverly - North Beverly Elementary, 00300040,2,2,10.5,82.6,0.3,0,2.6,51.9,48.1
Billerica - Billerica Memorial High School, 00310505,2.3,6.4,4.6,84.3,0.1,0.3,2,49.9,50.1
Billerica - Eugene C Vining, 00310030,2,4.6,10.2,76.6,0,0.5,6.1,53.8,46.2
Billerica - Frederick J Dutile, 00310007,4.3,3.3,5.6,84.5,0,0,2.3,50.2,49.8
Billerica - Hajjar Elementary, 00310026,4.6,8.6,8.4,76.9,0.4,0,1,53.2,46.8
Billerica - John F Kennedy, 00310012,1.6,2.8,2.8,90.7,0,0,2.2,50.5,49.5
Billerica - Locke Middle, 00310310,2.2,6.2,3.4,85.4,0,0.2,2.6,51.1,48.9
Billerica - Marshall Middle School, 00310305,3.2,5.5,3.9,85.9,0.2,0.2,1.3,49.6,50.4
Billerica - Parker, 00310015,5.9,10.5,6.9,73.2,0.4,0,3.2,55.8,44.2
Billerica - Thomas Ditson, 00310005,5,9,6.1,75.5,0,0,4.4,48.9,51.1
Blackstone Valley Regional Vocational Technical - Blackstone Valley, 08050605,0.6,0.8,2.9,94.1,0,0,1.6,48.2,51.8
Blackstone-Millville - A F Maloney, 06220015,2.4,1.4,5.5,86.3,0.3,0,4.1,47.3,52.7
Blackstone-Millville - Blackstone Millville RHS, 06220505,0.9,1.8,3.6,92.6,0,0,1.1,48.7,51.3
Blackstone-Millville - Frederick W. Hartnett Middle School, 06220405,1.2,1.2,5.1,90,0,0,2.5,49.3,50.7
Blackstone-Millville - John F Kennedy Elementary, 06220008,1.7,0.7,7.5,85.3,0,0,4.8,56.8,43.2
Blackstone-Millville - Millville Elementary, 06220010,0.4,1.4,6.7,89.4,0,0,2.1,55.1,44.9
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical, 08060605,22.7,0.7,11.9,59.3,0.8,0.1,4.5,55.5,44.5
Boston - Another Course To College, 00350541,43,5.8,39.9,7.2,0.4,0.4,3.1,49.3,50.7
Boston - Baldwin Early Learning Center, 00350003,15.1,25.8,32.1,22.6,0,0,4.4,59.7,40.3
Boston - Beethoven, 00350021,23.4,3.6,29.2,41,0,0,2.7,49.5,50.5
Boston - Blackstone, 00350390,24.1,1.5,69.4,3.6,0,0.2,1.2,52.6,47.4
Boston - Boston Adult Academy, 00350548,53.8,2,37.1,5.1,0,1,1,48.7,51.3
Boston - Boston Arts Academy, 00350546,40.5,4.5,39.4,12.5,0,0,3.1,36.2,63.8
Boston - Boston Collaborative High School, 00350755,43,1,39.4,14.5,1,0,1,51.8,48.2
Boston - Boston Community Leadership Academy, 00350558,36,4.8,51.2,5.8,0.4,0,1.8,51.2,48.8
Boston - Boston International High School, 00350507,47.4,3.4,45.5,1.9,0,0.8,1.1,51.9,48.1
Boston - Boston Latin, 00350560,8,29,12.1,46.9,0.1,0,3.8,45.1,54.9
Boston - Boston Latin Academy, 00350545,22.7,21.9,22.6,29.3,0.4,0.2,2.9,41.9,58.1
Boston - Boston Teachers Union School, 00350012,23,2.7,39.5,31.1,0.3,0,3.4,51.4,48.6
Boston - Brighton High, 00350505,44.3,3.1,45.7,5.4,0.4,0.1,1,60.3,39.7
Boston - Carter Developmental Center, 00350036,51.7,13.8,17.2,13.8,0,3.4,0,62.1,37.9
Boston - Charles H Taylor, 00350054,75.1,1.2,18.1,1.6,1,0.2,2.8,51.1,48.9
Boston - Charles Sumner, 00350052,19.2,1.4,60.8,14.2,0,0.2,4.3,53.2,46.8
Boston - Charlestown High, 00350515,33.1,17,43.5,5.2,0.1,0,1.1,60.1,39.9
Boston - Clarence R Edwards Middle, 00350430,13.1,7.5,68.1,9.6,0,0,1.8,54.3,45.7
Boston - Community Academy, 00350518,68.2,0,25,2.3,0,0,4.5,88.6,11.4
Boston - Community Academy of Science and Health, 00350581,69.6,3.3,23.3,2.2,0,0,1.6,54,46
Boston - Curley K-8 School, 00350020,18.7,2.5,53.8,20.1,0,0.1,4.7,49.6,50.4
Boston - Curtis Guild, 00350062,1,0.6,81.2,16.5,0,0,0.6,52.4,47.6
Boston - Dante Alighieri Montessori School, 00350066,1,0,62.5,30.2,0,0,6.3,49,51
Boston - David A Ellis, 00350072,35.8,0.2,59.6,2.5,0.2,0,1.6,49.8,50.2
Boston - Dearborn, 00350074,67.3,0.3,26.5,1.6,0.6,0,3.6,55,45
Boston - Dennis C Haley, 00350077,30.8,1.1,36.9,24.8,0.2,0.4,5.8,48.5,51.5
Boston - Donald Mckay, 00350080,2.2,0.5,89.2,7.2,0,0,0.8,51.2,48.8
Boston - Dorchester Academy, 00350651,61.6,1,32.3,4,0,0,1,45.5,54.5
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School, 00350008,50.3,1.1,42.9,3.2,1.1,0,1.6,55.6,44.4
Boston - Dr. William Henderson Lower, 00350266,25.8,13.8,17.5,40.1,0,0.5,2.3,47.9,52.1
Boston - Dr. William Henderson Upper, 00350426,43.2,6.7,25.7,21.6,0.2,0.2,2.4,54.7,45.3
Boston - East Boston Early Childhood Center, 00350009,5.9,1.2,62.4,28.2,0,0,2.4,55.3,44.7
Boston - East Boston High, 00350530,6.9,1.3,77.7,12.8,0.6,0,0.8,56.7,43.3
Boston - Edison K-8, 00350375,19.9,15.7,45.3,15.7,0.6,0.1,2.6,54.4,45.6
Boston - Edward Everett, 00350088,42.8,19.1,30.6,4,0.4,0,3.2,52.9,47.1
Boston - ELC - West Zone, 00350006,22.8,7.9,49.1,14,0.9,0,5.3,54.4,45.6
Boston - Eliot Elementary, 00350096,9.5,6.8,19.7,58.1,0.2,0.2,5.6,50.7,49.3
Boston - Ellis Mendell, 00350100,22.5,0.4,33.6,36.1,0,0,7.4,52.5,47.5
Boston - Excel High School, 00350522,37.7,21.9,28.8,9.7,0.4,0.4,1.1,61.9,38.1
Boston - Fenway High School, 00350540,33.9,3.6,55.3,5.3,0,0.3,1.7,47.2,52.8
Boston - Franklin D Roosevelt, 00350116,33.1,2.2,43,20.1,0,0.2,1.3,49,51
Boston - Gardner Pilot Academy, 00350326,12,5.2,64.8,13.5,0,0.5,4,53.1,46.9
Boston - George H Conley, 00350122,36.5,2.7,39.2,18.9,0,0,2.7,56.3,43.7
Boston - Greater Egleston Community High School, 00350543,30.7,0,61.8,4.9,0.9,0,1.8,53.8,46.2
Boston - Harvard-Kent, 00350200,23,29.1,34.5,10.1,0.2,0.2,2.8,55.8,44.2
Boston - Haynes Early Education Center, 00350010,52.4,2.1,38.5,2.1,1.1,0,3.7,52.9,47.1
Boston - Henry Grew, 00350135,42.7,2.1,42.7,7.1,0,0.4,5,49.8,50.2
Boston - Higginson, 00350015,41,0.6,53.8,1.2,0,0.6,2.9,54.3,45.7
Boston - Higginson/Lewis K-8, 00350377,51.5,0.8,40.3,1.7,0.6,0,5.1,55.2,44.8
Boston - Horace Mann School for the Deaf, 00350750,37.8,6.7,41.1,11.1,0,0,3.3,61.1,38.9
Boston - Hugh Roe O'Donnell, 00350141,0.7,2.6,91.2,4,0,0,1.5,51.5,48.5
Boston - Jackson Mann, 00350013,38.4,11,39.1,8.1,0.3,0,3.1,57.5,42.5
Boston - James Condon Elementary, 00350146,34.9,7.4,31.6,22.5,0.1,0.5,3.1,50.5,49.5
Boston - James J Chittick, 00350154,64.2,1.7,26.7,3.7,0,0,3.7,55.1,44.9
Boston - James Otis, 00350156,5,2,69.1,22.4,0,0,1.5,48.5,51.5
Boston - James P Timilty Middle, 00350485,29.4,1.6,65.8,0.5,0,0.3,2.4,53.1,46.9
Boston - James W Hennigan, 00350153,27.7,2.2,62.1,6.1,0,0.2,1.7,50.3,49.7
Boston - Jeremiah E Burke High, 00350525,72.8,0.6,22.5,3.3,0,0,0.8,51.9,48.1
Boston - John D Philbrick, 00350172,40.7,1.2,32.6,22.1,0,0.6,2.9,52.9,47.1
Boston - John F Kennedy, 00350166,20.4,1,71.5,4.7,0,0,2.4,50,50
Boston - John W McCormack, 00350179,32,7.2,55,5,0,0,0.9,51.4,48.6
Boston - John Winthrop, 00350180,58.4,2.7,31.9,0.9,0.6,1.5,4,46.5,53.5
Boston - Joseph J Hurley, 00350182,6.2,0.6,72.5,18.1,0,0,2.5,49.3,50.7
Boston - Joseph Lee, 00350183,53.4,6.3,28.8,6.3,0,0.3,5,56,44
Boston - Joseph P Manning, 00350184,19,3.8,27.8,41.1,0,0.6,7.6,53.2,46.8
Boston - Joseph P Tynan, 00350181,39.2,8.2,27.6,18.7,0,0,6.3,58.2,41.8
Boston - Josiah Quincy, 00350286,15.7,57.1,13.5,9.7,0.1,0,3.9,50.2,49.8
Boston - Joyce Kilmer, 00350190,13.6,8.7,17.5,54.9,0,0.2,5.1,54.3,45.7
Boston - King K-8, 00350376,63.3,0.8,30,1.2,0.2,0.4,4.1,51.4,48.6
Boston - Lee Academy, 00350001,56.1,7,24.6,6.4,2.1,0.5,3.2,52.9,47.1
Boston - Lilla G. Frederick Middle School, 00350383,45.9,9.2,40.7,1.3,0,0.2,2.7,53,47
Boston - Lyndon, 00350262,8.8,2.1,33,53.4,0,0,2.7,51.7,48.3
Boston - Lyon K-8, 00350004,15.8,10.1,30.9,36,0,0,7.2,55.4,44.6
Boston - Lyon Upper 9-12, 00350655,24.6,6.3,34.1,30.2,0,0,4.8,50,50
Boston - Madison Park High, 00350537,39.2,0.8,53.9,2.5,0.5,0.1,3,56.5,43.5
Boston - Manassah E Bradley, 00350215,4.9,6.3,54.9,30.4,0,0,3.5,50,50
Boston - Margarita Muniz Academy, 00350549,4.2,0,93.3,1.4,0,0,1.1,40.1,59.9
Boston - Mario Umana Academy, 00350656,3.6,1.8,85.8,7.8,0,0.1,0.9,52.5,47.5
Boston - Mather, 00350227,37.8,31.3,18,6.6,0.5,0,5.8,49.1,50.9
Boston - Mattahunt, 00350226,71.5,0.2,23.7,2.2,0.2,0,2.4,50.2,49.8
Boston - Maurice J Tobin, 00350229,31.8,0.2,63.7,1.9,0.2,0.2,1.9,50.5,49.5
Boston - Michael J Perkins, 00350231,42.9,2.1,38.7,11.3,1.3,0,3.8,46.2,53.8
Boston - Mildred Avenue K-8, 00350378,66.3,1.2,26.5,2.2,1.8,0,2,50.5,49.5
Boston - Mission Hill School, 00350382,20.7,0.5,39.2,31.8,0.5,0.5,6.9,58.5,41.5
Boston - Mozart, 00350237,26.9,5.7,21.1,37.1,0.6,0,8.6,57.7,42.3
Boston - Nathan Hale, 00350243,50.6,2.9,36.8,5.2,0,0,4.6,46,54
Boston - New Mission High School, 00350542,65,0.3,31.6,1.3,0.6,0,1.3,50.9,49.1
Boston - O W Holmes, 00350138,60.3,2.7,27.7,2.7,0.3,0.5,5.7,53.3,46.7
Boston - O'Bryant School Math/Science, 00350575,32.8,22.5,30.8,11.1,0.4,0.1,2.2,44.3,55.7
Boston - Oliver Hazard Perry, 00350255,17.1,3.2,17.1,58.6,0,0.5,3.6,57.2,42.8
Boston - Orchard Gardens, 00350257,46.8,1.5,46.7,2,0.5,0.3,2.1,51.2,48.8
Boston - Patrick J Kennedy, 00350264,2.4,2,88.6,6.4,0,0,0.7,53.2,46.8
