School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,Student Included,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL
Boston - Henry Grew,00350135,MATH,          23,26,           0,0,          23,26,          53,60,          12,14,          88,     491.2,          49.5,          58,22
Boston - Higginson/Lewis K-8,00350377,ELA,          23,9,           0,0,          23,9,         134,53,          95,38,         252,     477.6,          34.0,         159,2
Boston - Higginson/Lewis K-8,00350377,MATH,          16,6,           1,0,          15,6,         106,42,         130,52,         252,     472.6,          26.5,         154,2
Boston - Horace Mann School for the Deaf,00350750,ELA,           0,0,           0,0,           0,0,           5,19,          22,81,          27,     468.4,,           6,
Boston - Horace Mann School for the Deaf,00350750,MATH,           1,4,           0,0,           1,4,           6,22,          20,74,          27,     468.1,,           6,1
Boston - Hugh Roe O'Donnell,00350141,ELA,          29,25,           0,0,          29,25,          66,56,          22,19,         117,     485.6,          69.5,          70,8
Boston - Hugh Roe O'Donnell,00350141,MATH,          32,27,           1,1,          31,26,          71,60,          15,13,         118,     489.4,          74.0,          71,17
Boston - Jackson Mann,00350013,ELA,         112,27,          14,3,          98,24,         178,44,         119,29,         409,     486.9,          45.0,         298,10
Boston - Jackson Mann,00350013,MATH,         121,30,          16,4,         105,26,         179,44,         110,27,         410,     488.9,          40.0,         298,15
Boston - James J Chittick,00350154,ELA,          24,23,           0,0,          24,23,          67,63,          15,14,         106,     491.3,          52.0,          58,19
Boston - James J Chittick,00350154,MATH,          18,17,           1,1,          17,16,          68,65,          19,18,         105,     488.9,          37.0,          57,16
Boston - James Otis,00350156,ELA,          31,20,           0,0,          31,20,          99,62,          29,18,         159,     486.6,          38.0,          99,10
Boston - James Otis,00350156,MATH,          58,36,           5,3,          53,33,          84,53,          17,11,         159,     494.1,          50.5,          98,29
Boston - James P Timilty Middle,00350485,ELA,          70,22,           4,1,          66,21,         171,54,          77,24,         318,     484.3,          62.0,         279,6
Boston - James P Timilty Middle,00350485,MATH,          45,14,           1,0,          44,14,         177,55,          99,31,         321,     479.8,          43.0,         279,5
Boston - James W Hennigan,00350153,ELA,          85,20,          14,3,          71,17,         225,54,         109,26,         419,     483.4,          45.0,         307,5
Boston - James W Hennigan,00350153,MATH,          74,18,          13,3,          61,15,         193,46,         150,36,         417,     480.9,          42.0,         302,6
Boston - John D Philbrick,00350172,ELA,          20,32,           0,0,          20,32,          34,55,           8,13,          62,     489.4,          40.0,          37,15
Boston - John D Philbrick,00350172,MATH,          15,24,           2,3,          13,21,          36,58,          11,18,          62,     488.2,          29.0,          37,14
Boston - John F Kennedy,00350166,ELA,          61,38,           4,2,          57,35,          75,46,          26,16,         162,     491.4,          39.5,         104,19
Boston - John F Kennedy,00350166,MATH,          40,25,           2,1,          38,24,          94,59,          26,16,         160,     487.5,          16.0,         103,13
Boston - John W McCormack,00350179,ELA,          71,20,           4,1,          67,18,         181,50,         112,31,         364,     481.8,          41.0,         324,4
Boston - John W McCormack,00350179,MATH,          71,20,           5,1,          66,18,         195,54,          98,27,         364,     483.6,          44.0,         317,8
Boston - John Winthrop,00350180,ELA,          28,22,           0,0,          28,22,          70,55,          30,23,         128,     485.4,          53.0,          84,7
Boston - John Winthrop,00350180,MATH,          46,36,           0,0,          46,36,          61,47,          22,17,         129,     489.6,          72.0,          85,17
Boston - Joseph J Hurley,00350182,ELA,          99,54,           7,4,          92,51,          74,41,           9,5,         182,     501.4,          53.0,         135,58
Boston - Joseph J Hurley,00350182,MATH,          90,49,          16,9,          74,41,          78,43,          14,8,         182,     499.5,          41.0,         135,50
Boston - Joseph Lee,00350183,ELA,         100,26,          13,3,          87,23,         153,40,         132,34,         385,     490.8,          49.5,         248,18
Boston - Joseph Lee,00350183,MATH,          64,17,           4,1,          60,16,         165,43,         157,41,         386,     483.9,          41.5,         246,8
Boston - Joseph P Manning,00350184,ELA,          33,45,           2,3,          31,42,          30,41,          10,14,          73,     494.5,          54.0,          47,29
Boston - Joseph P Manning,00350184,MATH,          30,41,           2,3,          28,38,          27,37,          16,22,          73,     491.3,          42.0,          47,22
Boston - Joseph P Tynan,00350181,ELA,          25,23,           0,0,          25,23,          48,44,          37,34,         110,     486.6,          46.0,          53,10
Boston - Joseph P Tynan,00350181,MATH,          26,24,           1,1,          25,23,          47,43,          37,34,         110,     485.8,          56.0,          53,10
Boston - Josiah Quincy,00350286,ELA,         192,48,          31,8,         161,40,         168,42,          42,10,         402,     500.5,          61.0,         259,54
Boston - Josiah Quincy,00350286,MATH,         224,56,          51,13,         173,43,         127,32,          51,13,         402,     502.3,          57.0,         259,64
Boston - Joyce Kilmer,00350190,ELA,         119,48,          21,8,          98,40,         101,41,          28,11,         248,     499.4,          52.0,         162,49
Boston - Joyce Kilmer,00350190,MATH,         105,42,          11,4,          94,38,         108,44,          35,14,         248,     496.5,          41.5,         162,38
Boston - King K-8,00350376,ELA,          18,8,           0,0,          18,8,         131,62,          63,30,         212,     479.0,          44.0,         151,3
Boston - King K-8,00350376,MATH,          12,6,           1,0,          11,5,         114,54,          85,40,         211,     474.7,          35.5,         150,3
Boston - Lilla G. Frederick Middle School,00350383,ELA,          22,5,           1,0,          21,5,         207,49,         192,46,         421,     473.2,          28.0,         345,2
Boston - Lilla G. Frederick Middle School,00350383,MATH,          44,10,           1,0,          43,10,         202,48,         174,41,         420,     477.3,          35.0,         338,4
Boston - Lyndon,00350262,ELA,         133,42,          19,6,         114,36,         122,38,          62,20,         317,     493.9,          49.0,         222,27
Boston - Lyndon,00350262,MATH,         116,37,          11,3,         105,33,         128,41,          72,23,         316,     490.4,          52.0,         221,19
Boston - Lyon K-8,00350004,ELA,          49,53,          11,12,          38,41,          42,46,           1,1,          92,     504.2,          55.0,          73,69
Boston - Lyon K-8,00350004,MATH,          54,59,           8,9,          46,50,          33,36,           5,5,          92,     502.0,          55.0,          74,62
Boston - Manassah E Bradley,00350215,ELA,          73,56,           6,5,          67,52,          53,41,           4,3,         130,     503.5,          54.0,          83,66
Boston - Manassah E Bradley,00350215,MATH,          64,49,           6,5,          58,45,          55,42,          11,8,         130,     498.7,          24.0,          83,47
Boston - Mario Umana Academy,00350656,ELA,         123,19,           3,0,         120,19,         323,51,         188,30,         634,     482.7,          41.0,         505,5
Boston - Mario Umana Academy,00350656,MATH,         141,22,          12,2,         129,20,         322,51,         172,27,         635,     484.9,          37.5,         504,9
Boston - Mather,00350227,ELA,          75,29,           5,2,          70,27,         126,49,          58,22,         259,     487.6,          40.0,         161,11
Boston - Mather,00350227,MATH,          89,34,           2,1,          87,33,         117,45,          54,21,         260,     489.1,          48.0,         160,16
Boston - Mattahunt,00350226,ELA,          21,10,           0,0,          21,10,         124,60,          61,30,         206,     479.1,          45.0,         119,3
Boston - Mattahunt,00350226,MATH,          14,7,           0,0,          14,7,          92,45,          98,48,         204,     473.7,          44.5,         118,2
Boston - Maurice J Tobin,00350229,ELA,          45,19,           0,0,          45,19,         145,60,          50,21,         240,     484.4,          45.0,         180,7
Boston - Maurice J Tobin,00350229,MATH,          29,12,           1,0,          28,12,         154,65,          54,23,         237,     481.7,          28.0,         176,6
Boston - Michael J Perkins,00350231,ELA,          27,22,           2,2,          25,20,          76,62,          20,16,         123,     487.2,          42.0,          78,10
Boston - Michael J Perkins,00350231,MATH,          41,33,           0,0,          41,33,          50,41,          32,26,         123,     486.3,          37.5,          78,11
Boston - Mildred Avenue K-8,00350378,ELA,          43,14,           0,0,          43,14,         135,45,         121,40,         299,     480.5,          46.0,         241,4
Boston - Mildred Avenue K-8,00350378,MATH,          48,16,           1,0,          47,16,         139,46,         115,38,         302,     482.3,          44.0,         239,6
Boston - Mission Hill School,00350382,ELA,          24,22,           4,4,          20,18,          48,44,          37,34,         109,     484.0,          45.0,          73,6
Boston - Mission Hill School,00350382,MATH,          18,16,           1,1,          17,15,          41,37,          51,46,         110,     475.1,          39.0,          73,3
Boston - Mozart,00350237,ELA,          32,48,           2,3,          30,45,          20,30,          14,21,          66,     496.2,          61.0,          39,36
Boston - Mozart,00350237,MATH,          24,36,           1,2,          23,35,          22,33,          20,30,          66,     489.9,          58.0,          39,18
Boston - Nathan Hale,00350243,ELA,          47,55,           7,8,          40,47,          35,41,           3,4,          85,     501.2,          78.0,          55,58
Boston - Nathan Hale,00350243,MATH,          37,44,           2,2,          35,41,          40,47,           8,9,          85,     496.6,          77.0,          54,38
Boston - O W Holmes,00350138,ELA,          27,19,           3,2,          24,17,          80,56,          35,25,         142,     483.9,          36.0,          82,6
Boston - O W Holmes,00350138,MATH,          21,15,           0,0,          21,15,          70,49,          53,37,         144,     478.7,          17.5,          84,4
Boston - O'Bryant School Math/Science,00350575,ELA,         196,65,          11,4,         185,62,         101,34,           3,1,         300,     505.4,          46.0,         285,74
Boston - O'Bryant School Math/Science,00350575,MATH,         230,76,          19,6,         211,70,          71,24,           0,0,         301,     508.5,          40.0,         286,85
Boston - Oliver Hazard Perry,00350255,ELA,          39,34,           1,1,          38,33,          58,50,          19,16,         116,     492.4,          43.0,          92,21
Boston - Oliver Hazard Perry,00350255,MATH,          59,51,           3,3,          56,49,          43,37,          13,11,         115,     497.9,          64.5,          92,44
Boston - Orchard Gardens,00350257,ELA,          67,13,           5,1,          62,12,         241,46,         212,41,         520,     477.1,          33.0,         385,2
Boston - Orchard Gardens,00350257,MATH,          63,12,           1,0,          62,12,         261,50,         196,38,         520,     477.8,          28.0,         382,4
Boston - Patrick J Kennedy,00350264,ELA,          45,38,           6,5,          39,33,          68,57,           7,6,         120,     497.2,          49.0,          65,39
Boston - Patrick J Kennedy,00350264,MATH,          40,32,           3,2,          37,29,          73,58,          13,10,         126,     493.1,          38.0,          65,27
Boston - Paul A Dever,00350268,ELA,          50,30,           1,1,          49,29,          81,48,          37,22,         168,     488.2,          55.0,         103,12
Boston - Paul A Dever,00350268,MATH,          74,44,           8,5,          66,40,          66,40,          27,16,         167,     494.4,          70.0,         102,30
Boston - Phineas Bates,00350278,ELA,          62,44,           6,4,          56,40,          63,45,          15,11,         140,     495.8,          29.0,          90,34
Boston - Phineas Bates,00350278,MATH,          56,40,           6,4,          50,36,          62,44,          22,16,         140,     492.3,          32.5,          90,24
Boston - Quincy Upper School,00350565,ELA,         110,40,          20,7,          90,33,         132,48,          32,12,         274,     495.9,          51.0,         270,34
Boston - Quincy Upper School,00350565,MATH,         110,40,          25,9,          85,31,         135,49,          29,11,         274,     496.3,          33.0,         266,37
Boston - Rafael Hernandez,00350691,ELA,          58,28,           2,1,          56,27,         119,58,          28,14,         205,     489.3,          36.0,         153,15
Boston - Rafael Hernandez,00350691,MATH,          58,28,           2,1,          56,27,         118,58,          29,14,         205,     488.7,          31.0,         153,15
Boston - Richard J Murphy,00350240,ELA,         284,44,          44,7,         240,37,         263,40,         104,16,         651,     496.7,          41.0,         509,37
Boston - Richard J Murphy,00350240,MATH,         319,49,          48,7,         271,42,         248,38,          78,12,         645,     500.5,          48.0,         497,55
Boston - Roger Clap,00350298,ELA,          19,29,           1,2,          18,28,          30,46,          16,25,          65,     486.1,          30.0,          41,8
Boston - Roger Clap,00350298,MATH,          14,22,           4,6,          10,15,          27,42,          24,37,          65,     482.5,          30.0,          40,7
Boston - Samuel Adams,00350302,ELA,          31,31,           5,5,          26,26,          46,46,          23,23,         100,     492.0,          57.0,          64,20
Boston - Samuel Adams,00350302,MATH,          32,32,           2,2,          30,30,          43,43,          25,25,         100,     490.1,          59.5,          64,19
Boston - Samuel W Mason,00350304,ELA,          25,27,           2,2,          23,25,          59,64,           8,9,          92,     491.0,          60.0,          54,18
Boston - Samuel W Mason,00350304,MATH,          28,30,           1,1,          27,29,          48,52,          17,18,          93,     489.5,          67.0,          55,17
Boston - Sarah Greenwood,00350308,ELA,          40,19,           2,1,          38,18,         111,51,          65,30,         216,     481.4,          40.0,         167,4
Boston - Sarah Greenwood,00350308,MATH,          26,12,           0,0,          26,12,         121,56,          69,32,         216,     478.6,          35.5,         164,4
Boston - TechBoston Academy,00350657,ELA,          55,17,           0,0,          55,17,         177,55,          88,28,         320,     481.9,          32.0,         287,4
Boston - TechBoston Academy,00350657,MATH,          20,6,           1,0,          19,6,         178,57,         114,37,         312,     474.9,          24.5,         278,3
Boston - Thomas J Kenny,00350328,ELA,          37,24,           4,3,          33,22,          77,51,          38,25,         152,     486.5,          37.0,          71,9
Boston - Thomas J Kenny,00350328,MATH,          50,34,           6,4,          44,30,          59,40,          40,27,         149,     489.0,          51.5,          68,16
Boston - UP Academy Holland,00350167,ELA,          76,23,           5,1,          71,21,         171,51,          89,26,         336,     485.7,          55.0,         192,8
Boston - UP Academy Holland,00350167,MATH,          69,21,           1,0,          68,20,         163,49,         102,31,         334,     483.0,          46.0,         188,7
Boston - Warren-Prescott,00350346,ELA,         180,56,          32,10,         148,46,         117,37,          23,7,         320,     504.7,          49.5,         236,71
Boston - Warren-Prescott,00350346,MATH,         163,51,          26,8,         137,43,         126,39,          31,10,         320,     501.6,          42.5,         236,60
Boston - Washington Irving Middle,00350445,ELA,          47,16,           6,2,          41,14,         152,53,          86,30,         285,     480.8,          34.0,         266,4
Boston - Washington Irving Middle,00350445,MATH,          41,14,           5,2,          36,13,         133,46,         114,40,         288,     477.6,          28.0,         265,4
Boston - William E Russell,00350366,ELA,          45,33,           2,1,          43,32,          77,57,          13,10,         135,     492.6,          50.0,          63,22
Boston - William E Russell,00350366,MATH,          46,34,           4,3,          42,31,          73,54,          16,12,         135,     493.1,          56.0,          62,26
Boston - William Ellery Channing,00350360,ELA,          18,22,           3,4,          15,18,          52,63,          13,16,          83,     489.3,          54.5,          50,15
Boston - William Ellery Channing,00350360,MATH,          18,22,           0,0,          18,22,          47,57,          18,22,          83,     485.2,          60.5,          50,9
Boston - William H Ohrenberger,00350258,ELA,         216,39,          32,6,         184,33,         263,47,          78,14,         557,     493.3,          56.5,         440,25
Boston - William H Ohrenberger,00350258,MATH,         224,40,          42,8,         182,33,         254,46,          79,14,         557,     494.5,          52.0,         439,32
Boston - William McKinley,00350363,ELA,           5,5,           0,0,           5,5,          33,33,          62,62,         100,     470.4,          31.0,          64,1
Boston - William McKinley,00350363,MATH,           2,2,           1,1,           1,1,          32,34,          61,64,          95,     469.0,          31.0,          54,1
Boston - William Monroe Trotter,00350370,ELA,          87,33,          15,6,          72,27,         150,57,          25,10,         262,     493.9,          61.5,         184,27
Boston - William Monroe Trotter,00350370,MATH,          79,30,           2,1,          77,29,         160,61,          23,9,         262,     491.0,          62.0,         183,21
Boston - Winship Elementary,00350374,ELA,          28,32,           4,5,          24,27,          49,56,          11,13,          88,     492.3,          53.5,          54,21
Boston - Winship Elementary,00350374,MATH,          30,34,           3,3,          27,31,          45,51,          13,15,          88,     490.9,          45.5,          54,21
Boston - Young Achievers,00350380,ELA,          71,23,           3,1,          68,22,         187,60,          55,18,         313,     486.4,          46.0,         221,9
Boston - Young Achievers,00350380,MATH,          71,23,           2,1,          69,22,         181,58,          62,20,         314,     486.3,          62.0,         221,11
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,ELA,         173,47,          15,4,         158,43,         178,48,          19,5,         370,     497.4,          47.0,         330,40
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,MATH,         176,48,          23,6,         153,41,         176,48,          17,5,         369,     500.2,          60.0,         326,54
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,ELA,          50,28,           4,2,          46,26,          97,54,          31,17,         178,     488.3,          53.0,         158,12
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,MATH,          16,9,           0,0,          16,9,         107,59,          57,32,         180,     477.0,          26.0,         160,4
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,ELA,          74,43,           6,3,          68,39,          79,45,          21,12,         174,     494.7,          63.0,         147,28
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,MATH,          74,43,           6,3,          68,39,          87,50,          13,7,         174,     497.0,          50.0,         147,39
Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,04810550,ELA,         123,31,           5,1,         118,29,         230,57,          50,12,         403,     490.7,          32.0,         280,18
Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,04810550,MATH,         139,34,           6,1,         133,33,         210,52,          54,13,         403,     491.7,          42.0,         278,23
Bourne - Bourne Middle School,00360325,ELA,         348,50,          33,5,         315,45,         307,44,          41,6,         696,     499.9,          59.0,         655,51
Bourne - Bourne Middle School,00360325,MATH,         314,45,          25,4,         289,42,         332,48,          47,7,         693,     497.6,          58.0,         651,43
Bourne - Bournedale Elementary School,00360005,ELA,          48,35,           2,1,          46,34,          74,54,          14,10,         136,     495.6,          36.0,          63,33
Bourne - Bournedale Elementary School,00360005,MATH,          53,40,           6,4,          47,35,          66,49,          15,11,         134,     496.2,          59.0,          62,37
Bourne - Peebles Elementary School,00360010,ELA,          65,40,           4,2,          61,38,          86,53,          11,7,         162,     494.9,          44.5,          74,30
Bourne - Peebles Elementary School,00360010,MATH,          52,32,           4,2,          48,30,          82,51,          28,17,         162,     491.4,          45.5,          74,22
Boxford - Spofford Pond,00380013,ELA,         275,65,          16,4,         259,61,         133,31,          15,4,         423,     504.4,          45.0,         315,70
Boxford - Spofford Pond,00380013,MATH,         318,75,          41,10,         277,65,          93,22,          13,3,         424,     509.3,          60.0,         316,87
Boylston - Boylston Elementary,00390005,ELA,         108,69,          10,6,          98,62,          45,29,           4,3,         157,     506.6,          48.0,         108,80
Boylston - Boylston Elementary,00390005,MATH,         107,68,          13,8,          94,60,          44,28,           6,4,         157,     506.9,          55.0,         108,81
Braintree - Archie T Morrison,00400033,ELA,         143,59,          25,10,         118,48,          92,38,           9,4,         244,     505.3,          28.5,         144,74
Braintree - Archie T Morrison,00400033,MATH,         135,55,          20,8,         115,47,          89,36,          20,8,         244,     503.1,          24.5,         144,67
Braintree - Donald Ross,00400050,ELA,          99,64,          14,9,          85,55,          51,33,           5,3,         155,     505.3,          51.0,          99,73
Braintree - Donald Ross,00400050,MATH,          96,62,          10,6,          86,55,          56,36,           3,2,         155,     504.8,          56.0,          99,72
Braintree - East Middle School,00400305,ELA,         450,63,          58,8,         392,54,         243,34,          27,4,         720,     504.8,          41.0,         693,72
Braintree - East Middle School,00400305,MATH,         413,58,          62,9,         351,49,         278,39,          25,3,         716,     504.7,          42.0,         682,72
Braintree - Highlands,00400015,ELA,         153,68,          29,13,         124,55,          72,32,           1,0,         226,     508.4,          46.0,         145,85
Braintree - Highlands,00400015,MATH,         134,59,          17,8,         117,52,          86,38,           6,3,         226,     503.7,          42.0,         146,69
Braintree - Hollis,00400005,ELA,         156,65,          37,15,         119,50,          74,31,          10,4,         240,     506.7,          54.0,         167,79
Braintree - Hollis,00400005,MATH,         139,58,          20,8,         119,50,          96,40,           4,2,         239,     504.9,          41.0,         166,72
Braintree - Liberty,00400025,ELA,         175,67,          28,11,         147,56,          87,33,           1,0,         263,     508.2,          60.0,         173,84
Braintree - Liberty,00400025,MATH,         173,66,          20,8,         153,58,          88,33,           3,1,         264,     505.9,          66.0,         172,76
Braintree - Mary E Flaherty School,00400020,ELA,         153,71,          31,14,         122,56,          49,23,          15,7,         217,     511.6,          67.0,         130,93
Braintree - Mary E Flaherty School,00400020,MATH,         115,53,          17,8,          98,45,          89,41,          13,6,         217,     504.9,          44.0,         130,73
Braintree - South Middle School,00400310,ELA,         413,62,          70,11,         343,52,         228,34,          21,3,         662,     505.9,          46.0,         641,76
Braintree - South Middle School,00400310,MATH,         406,61,          63,10,         343,52,         239,36,          17,3,         662,     505.8,          47.0,         638,76
Brewster - Eddy Elementary,00410010,ELA,         126,56,          13,6,         113,50,          86,38,          14,6,         226,     500.4,          40.0,         141,54
Brewster - Eddy Elementary,00410010,MATH,         118,52,          11,5,         107,47,          93,41,          15,7,         226,     501.0,          43.5,         142,57
Bridge Boston Charter School (District) - Bridge Boston Charter School,04170205,ELA,          35,31,           2,2,          33,29,          61,54,          17,15,         113,     490.6,          28.0,          66,17
Bridge Boston Charter School (District) - Bridge Boston Charter School,04170205,MATH,          34,30,           3,3,          31,27,          59,52,          20,18,         113,     491.7,          28.0,          66,24
Bridgewater-Raynham - Bridgewater Middle School,06250320,ELA,         294,59,          45,9,         249,50,         177,36,          25,5,         496,     504.0,          51.5,         492,68
Bridgewater-Raynham - Bridgewater Middle School,06250320,MATH,         314,63,          56,11,         258,52,         159,32,          22,4,         495,     506.2,          64.0,         489,77
Bridgewater-Raynham - Laliberte Elementary School,06250050,ELA,         195,59,          40,12,         155,47,         118,36,          18,5,         331,     504.6,          66.0,         166,71
Bridgewater-Raynham - Laliberte Elementary School,06250050,MATH,         208,63,          24,7,         184,55,         105,32,          19,6,         332,     504.3,          60.0,         167,71
Bridgewater-Raynham - Mitchell Elementary School,06250002,ELA,         129,53,          26,11,         103,43,          96,40,          17,7,         242,     502.2,,,62
Bridgewater-Raynham - Mitchell Elementary School,06250002,MATH,         145,60,          32,13,         113,47,          79,33,          18,7,         242,     505.5,,,75
Bridgewater-Raynham - Raynham Middle School,06250315,ELA,         343,50,          24,4,         319,47,         315,46,          26,4,         684,     498.7,          39.0,         673,45
Bridgewater-Raynham - Raynham Middle School,06250315,MATH,         409,60,          41,6,         368,54,         247,36,          27,4,         683,     503.3,          55.0,         670,68
Bridgewater-Raynham - Williams Intermediate School,06250300,ELA,         412,53,          38,5,         374,48,         316,41,          49,6,         777,     500.2,          44.0,         758,53
Bridgewater-Raynham - Williams Intermediate School,06250300,MATH,         449,58,          39,5,         410,53,         285,37,          44,6,         778,     502.5,          54.0,         756,65
Brimfield - Brimfield Elementary,00430005,ELA,         100,68,          18,12,          82,56,          45,31,           2,1,         147,     508.7,          67.5,         104,87
Brimfield - Brimfield Elementary,00430005,MATH,         101,69,          12,8,          89,61,          43,29,           2,1,         146,     508.3,          58.5,         104,85
Brockton - Ashfield Middle School,00440421,ELA,         127,29,           2,0,         125,29,         218,50,          93,21,         438,     489.3,          49.0,         385,15
Brockton - Ashfield Middle School,00440421,MATH,         137,31,          10,2,         127,29,         223,51,          78,18,         438,     491.2,          57.0,         385,21
Brockton - Brookfield,00440010,ELA,          56,18,           1,0,          55,18,         158,52,          90,30,         304,     482.6,          47.0,         175,5
Brockton - Brookfield,00440010,MATH,          63,21,           3,1,          60,20,         171,56,          71,23,         305,     485.4,          48.0,         175,10
Brockton - Downey,00440110,ELA,          67,21,           2,1,          65,20,         151,47,         103,32,         321,     484.1,          42.0,         183,6
Brockton - Downey,00440110,MATH,          66,21,           0,0,          66,21,         156,49,          98,31,         320,     484.2,          51.0,         183,8
Brockton - Dr W Arnone Community School,00440001,ELA,          66,17,           2,1,          64,17,         242,63,          77,20,         385,     483.8,          40.0,         254,6
Brockton - Dr W Arnone Community School,00440001,MATH,          64,17,           1,0,          63,16,         221,57,         100,26,         385,     482.2,          40.0,         252,6
Brockton - East Middle School,00440405,ELA,          94,21,           2,0,          92,21,         253,56,         101,23,         448,     484.1,          45.0,         411,6
Brockton - East Middle School,00440405,MATH,          55,12,           1,0,          54,12,         280,63,         112,25,         447,     480.3,          35.0,         403,5
Brockton - Edgar B Davis,00440023,ELA,         161,26,           3,0,         158,25,         367,58,         102,16,         630,     487.4,          46.0,         507,11
Brockton - Edgar B Davis,00440023,MATH,         154,24,           3,0,         151,24,         369,58,         108,17,         631,     486.9,          41.0,         507,12
Brockton - Gilmore Elementary School,00440055,ELA,          53,20,           3,1,          50,19,         149,58,          57,22,         259,     484.3,          48.0,         167,6
Brockton - Gilmore Elementary School,00440055,MATH,          84,33,           5,2,          79,31,         133,52,          41,16,         258,     489.3,          62.5,         166,16
Brockton - Hancock,00440045,ELA,         112,35,           5,2,         107,33,         183,57,          25,8,         320,     494.3,          59.0,         207,28
Brockton - Hancock,00440045,MATH,          80,25,           9,3,          71,22,         190,59,          51,16,         321,     487.5,          34.0,         207,13
Brockton - Huntington Therapeutic Day School,00440400,ELA,           0,0,           0,0,           0,0,           3,30,           7,70,          10,     465.9,,           8,
Brockton - Huntington Therapeutic Day School,00440400,MATH,           0,0,           0,0,           0,0,           5,50,           5,50,          10,     463.9,,           8,1
Brockton - John F Kennedy,00440017,ELA,          95,34,           8,3,          87,31,         149,53,          39,14,         283,     492.6,          56.0,         178,22
Brockton - John F Kennedy,00440017,MATH,          84,30,           1,0,          83,29,         151,53,          48,17,         283,     490.1,          42.0,         178,18
Brockton - Joseph F. Plouffe Academy,00440422,ELA,         258,39,          23,4,         235,36,         290,44,         108,16,         656,     493.4,          40.0,         624,25
Brockton - Joseph F. Plouffe Academy,00440422,MATH,         239,36,          28,4,         211,32,         289,44,         129,20,         657,     492.3,          31.0,         617,24
Brockton - Louis F Angelo Elementary,00440065,ELA,         185,39,          23,5,         162,34,         188,39,         104,22,         477,     491.4,          37.0,         346,19
Brockton - Louis F Angelo Elementary,00440065,MATH,         187,39,          24,5,         163,34,         187,39,         102,21,         476,     492.1,          43.0,         344,24
Brockton - Manthala George Jr. School,00440003,ELA,          99,22,           5,1,          94,21,         231,52,         118,26,         448,     484.8,          46.0,         273,7
Brockton - Manthala George Jr. School,00440003,MATH,          93,21,           5,1,          88,20,         219,49,         136,30,         448,     482.5,          46.5,         272,7
Brockton - Mary E. Baker School,00440002,ELA,          88,26,           4,1,          84,25,         190,57,          58,17,         336,     487.9,          50.0,         198,12
Brockton - Mary E. Baker School,00440002,MATH,          79,23,           0,0,          79,23,         180,53,          80,24,         339,     485.2,          46.0,         200,9
Brockton - North Middle School,00440410,ELA,         112,22,           6,1,         106,21,         297,58,         106,21,         515,     484.6,          53.5,         476,7
Brockton - North Middle School,00440410,MATH,          75,15,           2,0,          73,14,         312,61,         128,25,         515,     481.9,          43.0,         475,6
Brockton - Oscar F Raymond,00440078,ELA,          61,16,           2,1,          59,15,         228,58,         104,26,         393,     481.2,          50.0,         248,4
Brockton - Oscar F Raymond,00440078,MATH,          76,19,           3,1,          73,19,         207,53,         109,28,         392,     482.6,          58.0,         247,7
Brockton - South Middle School,00440415,ELA,          92,19,           0,0,          92,19,         292,60,         104,21,         488,     485.5,          35.0,         455,7
Brockton - South Middle School,00440415,MATH,          59,12,           0,0,          59,12,         292,60,         136,28,         487,     481.1,          21.0,         449,6
Brockton - West Middle School,00440420,ELA,         157,26,           7,1,         150,25,         353,60,          83,14,         593,     488.7,          46.0,         580,13
Brockton - West Middle School,00440420,MATH,         121,20,           6,1,         115,19,         352,59,         119,20,         592,     484.9,          43.0,         578,9
Brooke Charter School (District) - Brooke Charter School,04280305,ELA,         598,60,          89,9,         509,51,         359,36,          36,4,         993,     504.7,          47.0,         754,72
Brooke Charter School (District) - Brooke Charter School,04280305,MATH,         688,69,         108,11,         580,58,         271,27,          34,3,         993,     507.8,          44.0,         753,84
Brookfield - Brookfield Elementary,00450005,ELA,         100,59,          11,6,          89,52,          57,34,          13,8,         170,     503.3,          55.5,         124,67
Brookfield - Brookfield Elementary,00450005,MATH,          98,58,          12,7,          86,51,          60,35,          12,7,         170,     503.7,          66.5,         124,70
Brookline - Edith C Baker,00460005,ELA,         384,81,         118,25,         266,56,          74,16,          17,4,         475,     515.4,          73.0,         382,98
Brookline - Edith C Baker,00460005,MATH,         369,79,         116,25,         253,54,          82,17,          19,4,         470,     514.9,          74.0,         380,96
Brookline - Edward Devotion,00460015,ELA,         303,64,          66,14,         237,50,         154,33,          13,3,         470,     507.6,          66.0,         355,82
Brookline - Edward Devotion,00460015,MATH,         293,63,          79,17,         214,46,         141,30,          31,7,         465,     507.3,          70.0,         353,81
Brookline - Heath,00460025,ELA,         286,80,         107,30,         179,50,          69,19,           3,1,         358,     518.7,          73.0,         287,99
