School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,Student Included,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL
Agawam - Agawam Junior High,00050405,MATH,         238,43,          24,4,         214,39,         280,51,          34,6,         552,     497.3,          40.0,         534,41
Agawam - Benjamin J Phelps,00050020,ELA,          56,36,           3,2,          53,34,          82,53,          17,11,         155,     492.2,          25.0,          72,21
Agawam - Benjamin J Phelps,00050020,MATH,          68,44,           4,3,          64,41,          73,47,          15,10,         156,     496.1,          36.0,          73,36
Agawam - Clifford M Granger,00050010,ELA,          59,48,           4,3,          55,45,          60,49,           4,3,         123,     497.6,          43.0,          59,41
Agawam - Clifford M Granger,00050010,MATH,          82,67,           9,7,          73,59,          37,30,           4,3,         123,     505.8,          64.0,          58,76
Agawam - James Clark School,00050030,ELA,          76,58,           6,5,          70,53,          40,31,          15,11,         131,     499.5,          58.5,          58,49
Agawam - James Clark School,00050030,MATH,          83,63,           9,7,          74,56,          32,24,          16,12,         131,     500.8,          53.0,          58,56
Agawam - Roberta G. Doering School,00050303,ELA,         289,50,          11,2,         278,48,         245,42,          48,8,         582,     498.5,          47.0,         558,44
Agawam - Roberta G. Doering School,00050303,MATH,         347,60,          39,7,         308,53,         191,33,          45,8,         583,     503.5,          57.0,         560,68
Agawam - Robinson Park,00050025,ELA,          71,45,          13,8,          58,37,          74,47,          12,8,         157,     499.4,          51.0,          74,48
Agawam - Robinson Park,00050025,MATH,          93,59,          14,9,          79,50,          50,32,          14,9,         157,     502.5,          64.0,          74,65
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          92,45,           7,3,          85,42,         103,50,           9,4,         204,     499.7,          56.0,         157,51
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,         109,54,           4,2,         105,52,          84,42,           9,4,         202,     500.6,          59.0,         155,55
Amesbury - Amesbury Elementary,00070005,ELA,          81,56,          18,12,          63,43,          51,35,          13,9,         145,     503.6,          56.0,          67,66
Amesbury - Amesbury Elementary,00070005,MATH,          75,52,          12,8,          63,43,          58,40,          12,8,         145,     500.8,          50.0,          67,56
Amesbury - Amesbury Middle,00070013,ELA,         329,51,          27,4,         302,47,         274,42,          43,7,         646,     499.6,          45.5,         634,50
Amesbury - Amesbury Middle,00070013,MATH,         310,48,          47,7,         263,41,         280,43,          54,8,         644,     500.2,          56.0,         630,53
Amesbury - Charles C Cashman Elementary,00070010,ELA,          89,49,          16,9,          73,41,          76,42,          15,8,         180,     501.0,          51.0,          87,57
Amesbury - Charles C Cashman Elementary,00070010,MATH,          67,37,           8,4,          59,33,          77,43,          36,20,         180,     491.9,          49.0,          86,23
Amherst - Crocker Farm Elementary,00080009,ELA,          96,50,          18,9,          78,41,          73,38,          22,12,         191,     498.9,          55.0,         128,46
Amherst - Crocker Farm Elementary,00080009,MATH,          81,43,           7,4,          74,40,          75,40,          31,17,         187,     494.5,          60.0,         127,31
Amherst - Fort River Elementary,00080020,ELA,          83,42,          23,12,          60,31,          97,49,          16,8,         196,     498.7,          50.0,         144,44
Amherst - Fort River Elementary,00080020,MATH,          88,45,          18,9,          70,36,          77,40,          29,15,         194,     496.8,          42.0,         141,39
Amherst - Wildwood Elementary,00080050,ELA,         107,51,          22,11,          85,41,          72,35,          29,14,         208,     500.2,          61.0,         132,53
Amherst - Wildwood Elementary,00080050,MATH,         113,55,          25,12,          88,43,          60,29,          32,16,         205,     501.5,          54.0,         129,60
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,         241,62,          58,15,         183,47,         115,30,          33,8,         389,     505.6,          54.0,         351,74
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,         225,59,          50,13,         175,46,         125,33,          32,8,         382,     505.5,          47.0,         343,75
Andover - Andover West Middle,00090310,ELA,         330,65,          49,10,         281,55,         170,33,          11,2,         511,     506.1,          40.0,         489,76
