school_id,year,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
870305,2002,6180505,1860505,360505,2780505,2180505,170305,2180305,1010310,830505,6800310
880405,2002,1220305,7450505,820505,310310,1360505,880505,2610505,870505,300305,1780305
890005,2002,2520305,6220405,240505,1870020,1440305,1740505,6180505,6800310,7250305,2460310
930038,2002,2580305,2010410,930058,1630420,610505,1810060,1000310,1650057,1760068,640305
930058,2002,1000305,2010415,930038,950305,930505,1630420,2580305,2010410,1530045,1000515
940305,2002,6350305,6150305,1420305,630010,7200305,1420505,7500505,1070305,6150505,2780305
950305,2002,930058,2010415,950320,930038,1000305,1630420,1650013,2010410,1630405,2740120
950315,2002,1030405,160315,7550505,2140305,1140305,160320,610505,6450305,2360310,160305
950320,2002,2010410,2740120,2740115,930038,4910550,1630420,950305,2010405,1280100,950315
990405,2002,830010,1860505,2510505,1710310,7150505,6180505,6650305,2180305,880505,310305
1000305,2002,930058,1530045,930505,930038,8290605,950305,2580305,1630420,2010415,1000515
1000310,2002,640505,160315,1530505,1760315,1280050,640305,6050405,1810060,1630420,1810050
1010310,2002,870305,2650405,7450405,1100505,7100510,2180505,170305,1100305,1440505,360505
1010405,2002,1580505,4780505,1580305,4470205,2490005,1870505,1170505,1250505,6550505,6750310
1030405,2002,2140305,7550505,860305,6450305,1140505,2360505,1280035,6150505,1070305,1740305
1050505,2002,310310,1770305,2780505,1100305,2040305,1750305,6500310,300305,6600505,880405
1070305,2002,6600305,70013,7200305,2270505,2390305,720050,6150505,6350305,2360505,6250315
1100305,2002,1770305,6980020,6500310,2780505,1050505,2040305,6100305,7050405,6800310,7350035
1110505,2002,1870020,1440305,30305,7400405,360505,7200505,170305,6220405,1910310,6350505
1140305,2002,1140505,1030405,7550505,6450305,2140305,860305,2360310,6740505,7170505,6150305
1170505,2002,1870505,4780505,1010405,2520305,1520505,7250310,240505,1380505,4470205,1620505
1220305,2002,7450505,820505,880405,7600405,6580310,1360505,6100505,820305,2610505,6500505
1250505,2002,1620505,4780505,6730305,6550505,1770505,6750310,7670505,6730505,2460310,1220505
1270505,2002,7250310,1870505,1380505,240505,6200505,4320530,2520305,2520510,6980020,2490005
1280035,2002,2140505,7250305,360505,2090505,6150505,1330505,50405,160305,1110505,1870020
1280050,2002,640505,640305,1000310,160315,1760315,1530045,610505,1280100,1280085,1810060
