school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per,free_lunch_num,free_lunch_per,reduced_lunch_num,reduced_lunch_per,high_needs_num,high_needs_per
160320,2001,85.0,11.4,15.0,2.0,0.0,0.0,159.0,21.4,,,,,,
160035,2001,26.0,6.6,0.0,0.0,0.0,0.0,98.0,24.8,,,,,,
170305,2001,3.0,0.5,1.0,0.2,0.0,0.0,70.0,11.2,,,,,,
170505,2001,11.0,1.8,0.0,0.0,0.0,0.0,60.0,9.6,,,,,,
170010,2001,7.0,2.4,6.0,2.0,0.0,0.0,21.0,7.2,,,,,,
170025,2001,8.0,2.3,3.0,0.9,0.0,0.0,18.0,5.1,,,,,,
180510,2001,29.0,6.2,0.0,0.0,0.0,0.0,55.0,11.7,,,,,,
180010,2001,9.0,3.1,0.0,0.0,0.0,0.0,31.0,10.8,,,,,,
200505,2001,71.0,3.6,16.0,0.8,0.0,0.0,425.0,21.5,,,,,,
200010,2001,9.0,2.3,0.0,0.0,0.0,0.0,67.0,16.8,,,,,,
200025,2001,31.0,8.4,0.0,0.0,0.0,0.0,193.0,52.0,,,,,,
200005,2001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.1,,,,,,
230505,2001,4.0,0.6,1.0,0.1,0.0,0.0,13.0,1.9,,,,,,
230305,2001,27.0,5.6,1.0,0.2,0.0,0.0,24.0,5.0,,,,,,
230010,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
230012,2001,24.0,4.8,0.0,0.0,0.0,0.0,25.0,5.0,,,,,,
240505,2001,13.0,2.3,0.0,0.0,0.0,0.0,41.0,7.4,,,,,,
240005,2001,1.0,0.3,0.0,0.0,0.0,0.0,13.0,3.9,,,,,,
240018,2001,4.0,0.6,4.0,0.6,0.0,0.0,63.0,10.1,,,,,,
250003,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
250505,2001,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.1,,,,,,
250510,2001,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,,,,,,
250020,2001,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.5,,,,,,
250025,2001,1.0,0.2,0.0,0.0,0.0,0.0,46.0,8.7,,,,,,
260505,2001,60.0,6.1,0.0,0.0,0.0,0.0,57.0,5.8,,,,,,
260015,2001,68.0,24.5,7.0,2.5,0.0,0.0,20.0,7.2,,,,,,
260010,2001,22.0,8.0,4.0,1.5,0.0,0.0,11.0,4.0,,,,,,
260035,2001,29.0,6.5,29.0,6.5,0.0,0.0,40.0,9.0,,,,,,
260005,2001,27.0,6.4,0.0,0.0,0.0,0.0,5.0,1.2,,,,,,
260305,2001,152.0,13.0,18.0,1.5,0.0,0.0,79.0,6.8,,,,,,
4200205,2001,61.0,18.6,0.0,0.0,0.0,0.0,186.0,56.7,,,,,,
4470205,2001,8.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
270010,2001,0.0,0.0,0.0,0.0,0.0,0.0,85.0,9.4,,,,,,
6180505,2001,14.0,2.0,14.0,2.0,0.0,0.0,68.0,9.7,,,,,,
280005,2001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.6,,,,,,
6200505,2001,1.0,0.2,0.0,0.0,0.0,0.0,12.0,2.8,,,,,,
300055,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
300505,2001,49.0,3.8,1.0,0.1,0.0,0.0,98.0,7.6,,,,,,
